row,track,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,valence
25.000,No Scrubs,0.0251,0.743,214400,0.675,1KGi9sZVMeszgZOWivFpxs,0.000717,8.000,0.0685,-4.267,0.000,0.0953,92.909,,https://api.spotify.com/v1/tracks/1KGi9sZVMeszgZOWivFpxs,0.59
26.000,Gangsta's Paradise (feat. L.V.),0.0372,0.641,241933,0.63,3u9fHuAtjMY1RW2mZfO4Cf,0,8.000,0.4,-6.393,1.000,0.0521,79.955,,https://api.spotify.com/v1/tracks/3u9fHuAtjMY1RW2mZfO4Cf,0.415
27.000,Basket Case,0.00293,0.442,181533,0.943,6L89mwZXSOwYl76YXfX13s,8.71E-06,3.000,0.091,-3.205,1.000,0.0602,85.064,,https://api.spotify.com/v1/tracks/6L89mwZXSOwYl76YXfX13s,0.781
28.000,Smells Like Teen Spirit,2.55E-05,0.502,301920,0.912,1f3yAtsJtY87CTmM8RLnxf,0.000173,1.000,0.106,-4.556,1.000,0.0564,116.761,,https://api.spotify.com/v1/tracks/1f3yAtsJtY87CTmM8RLnxf,0.72
29.000,Losing My Religion,0.0767,0.672,267733,0.841,74EV0g12ihUoOUXMprFpZB,0,9.000,0.135,-5.992,0.000,0.0285,125.437,,https://api.spotify.com/v1/tracks/74EV0g12ihUoOUXMprFpZB,0.82
30.000,Enjoy the Silence,0.2,0.663,255133,0.838,6WK9dVrRABMkUXFLNlgWFh,0.000177,0.000,0.0782,-5.744,0.000,0.0286,112.788,,https://api.spotify.com/v1/tracks/6WK9dVrRABMkUXFLNlgWFh,0.752
31.000,What's Up?,0.156,0.566,295493,0.57,7f0jXNMu2xjQUtmKMuWhGA,0,11.000,0.118,-9.875,0.000,0.0285,134.537,,https://api.spotify.com/v1/tracks/7f0jXNMu2xjQUtmKMuWhGA,0.491
32.000,Two Princes,0.00162,0.543,256733,0.912,4ePP9So5xRzspjLFVVbj90,2.10E-06,7.000,0.0565,-10.71,1.000,0.0601,103.731,,https://api.spotify.com/v1/tracks/4ePP9So5xRzspjLFVVbj90,0.836
33.000,Hero,0.735,0.501,257733,0.378,4FCb4CUbFCMNRkI6lYc1zI,0,4.000,0.119,-9.37,1.000,0.029,119.987,,https://api.spotify.com/v1/tracks/4FCb4CUbFCMNRkI6lYc1zI,0.178
34.000,Kiss From A Rose,0.63,0.587,289227,0.493,0z5E34e7ZT3XKMYQNXh6tH,0,8.000,0.224,-8.368,1.000,0.0296,131.727,,https://api.spotify.com/v1/tracks/0z5E34e7ZT3XKMYQNXh6tH,0.21
35.000,Truly Madly Deeply,0.403,0.555,277267,0.698,69hwHdKl4Y1HusAutt3W6q,0,0.000,0.0851,-8.874,1.000,0.0287,168.12,,https://api.spotify.com/v1/tracks/69hwHdKl4Y1HusAutt3W6q,0.816
36.000,Virtual Insanity - Remastered,0.13,0.651,228333,0.946,0dCr3qIupWh36ilLjRHi4P,0,6.000,0.148,-4.717,1.000,0.101,91.911,,https://api.spotify.com/v1/tracks/0dCr3qIupWh36ilLjRHi4P,0.508
37.000,Shoop,0.0915,0.939,248573,0.675,0Pu71wxadDlB8fJXfjIjeJ,0,0.000,0.0565,-7.232,1.000,0.211,96.918,,https://api.spotify.com/v1/tracks/0Pu71wxadDlB8fJXfjIjeJ,0.795
38.000,It Wasn't Me,0.0561,0.853,227600,0.606,1lzr43nnXAijIGYnCT8M8H,0,0.000,0.313,-4.596,1.000,0.0713,94.759,,https://api.spotify.com/v1/tracks/1lzr43nnXAijIGYnCT8M8H,0.654
39.000,The Rockafeller Skank - Short Edit,0.00476,0.572,241467,0.987,6QuBlKmaadzwQn21IUTPPX,0.00679,7.000,0.348,-6.259,1.000,0.281,152.636,,https://api.spotify.com/v1/tracks/6QuBlKmaadzwQn21IUTPPX,0.126
40.000,Are You Gonna Go My Way,0.00165,0.619,211933,0.67,45Ia1U4KtIjAPPU7Wv1Sea,0.0109,11.000,0.331,-10.319,0.000,0.0353,129.267,,https://api.spotify.com/v1/tracks/45Ia1U4KtIjAPPU7Wv1Sea,0.777
41.000,All Star,0.0319,0.731,200373,0.861,3cfOd4CMv2snFaKAnMdnvK,0,11.000,0.0829,-5.881,1.000,0.0323,104.034,,https://api.spotify.com/v1/tracks/3cfOd4CMv2snFaKAnMdnvK,0.78
42.000,Don't Speak,0.274,0.499,262747,0.761,6JGQ98So2ik5GVI9ydQ2Yh,9.38E-06,5.000,0.137,-5.436,0.000,0.0367,76.118,,https://api.spotify.com/v1/tracks/6JGQ98So2ik5GVI9ydQ2Yh,0.582
43.000,Save Tonight,0.000154,0.548,236040,0.742,7v02Sn9vYRQ6pc1lqhnkWY,3.97E-05,0.000,0.109,-6.536,1.000,0.0337,119.496,,https://api.spotify.com/v1/tracks/7v02Sn9vYRQ6pc1lqhnkWY,0.583
44.000,Killing Me Softly With His Song,0.0279,0.765,298773,0.29,1MAqR81Tz28IIqMJ2KUDAO,1.02E-06,4.000,0.571,-17.117,0.000,0.139,92.409,,https://api.spotify.com/v1/tracks/1MAqR81Tz28IIqMJ2KUDAO,0.506
45.000,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,0.259,0.822,283748,0.969,5QRAfvKPyQpwt897Jc0glg,0.000162,7.000,0.39,-11.471,0.000,0.0582,128.007,,https://api.spotify.com/v1/tracks/5QRAfvKPyQpwt897Jc0glg,0.765
46.000,"Boom, Boom, Boom, Boom!!",0.0108,0.8,201840,0.894,65OXGbKBQ8gUyJvUd0jNpf,0.437,6.000,0.0285,-7.346,0.000,0.04,138.48,,https://api.spotify.com/v1/tracks/65OXGbKBQ8gUyJvUd0jNpf,0.967
47.000,Genie in a Bottle,0.21,0.627,217573,0.8,11mwFrKvLXCbcVGNxffGyP,0.000123,1.000,0.137,-6.945,1.000,0.162,175.815,,https://api.spotify.com/v1/tracks/11mwFrKvLXCbcVGNxffGyP,0.912
48.000,Can I Kick It?,0.173,0.848,251573,0.666,3Ti0GdlrotgwsAVBBugv0I,0.000699,0.000,0.129,-6.547,1.000,0.274,96.662,,https://api.spotify.com/v1/tracks/3Ti0GdlrotgwsAVBBugv0I,0.744
49.000,U Can't Touch This,0.00456,0.867,257360,0.517,1B75hgRqe7A4fwee3g3Wmu,0.000339,11.000,0.0864,-13.222,0.000,0.0875,133.148,,https://api.spotify.com/v1/tracks/1B75hgRqe7A4fwee3g3Wmu,0.866
50.000,Summertime - Single Edit,0.00328,0.614,237093,0.752,5cFcWAWIcnV38t4YCWQiZZ,0,7.000,0.379,-6.271,1.000,0.0652,95.018,,https://api.spotify.com/v1/tracks/5cFcWAWIcnV38t4YCWQiZZ,0.444
51.000,I Wish,0.00137,0.669,249293,0.809,3LklW07tvdx2AHsgfi1Mng,0,7.000,0.38,-7.146,1.000,0.147,97.885,,https://api.spotify.com/v1/tracks/3LklW07tvdx2AHsgfi1Mng,0.572
52.000,Hypnotize,0.176,0.895,230000,0.694,6Tsu3OsuMz4KEGKbOYd6A0,0,9.000,0.292,-4.384,1.000,0.275,93.944,,https://api.spotify.com/v1/tracks/6Tsu3OsuMz4KEGKbOYd6A0,0.632
53.000,My Love Is Your Love,0.0449,0.77,260120,0.471,1lYaLFnhZBKTfBoPqdYXq5,3.95E-06,7.000,0.0669,-9.578,1.000,0.156,82.515,,https://api.spotify.com/v1/tracks/1lYaLFnhZBKTfBoPqdYXq5,0.474
54.000,"Baby, I Love Your Way",0.0528,0.651,249520,0.747,1Rvl8qsKJurfFTyWLBI9ib,0,1.000,0.207,-7.269,0.000,0.0699,147.518,,https://api.spotify.com/v1/tracks/1Rvl8qsKJurfFTyWLBI9ib,0.776
55.000,The Sign,0.0111,0.814,188933,0.862,0UBPU7UNTCySKbgErBZBfq,0.0289,7.000,0.026,-4.41,1.000,0.0442,97.008,,https://api.spotify.com/v1/tracks/0UBPU7UNTCySKbgErBZBfq,0.889
56.000,Step by Step,0.0274,0.787,267293,0.63,6J6RWKCPN5RFKHUKEUFjxS,6.69E-06,0.000,0.161,-12.295,1.000,0.0609,125.347,,https://api.spotify.com/v1/tracks/6J6RWKCPN5RFKHUKEUFjxS,0.882
57.000,Nothing Compares 2 U,0.0425,0.511,280040,0.574,6QYH8cjdC23Qt2HT4UtycH,2.33E-05,5.000,0.105,-7.016,1.000,0.0273,119.917,,https://api.spotify.com/v1/tracks/6QYH8cjdC23Qt2HT4UtycH,0.161
58.000,Californication,0.0021,0.592,329733,0.767,48UPSzbZjgc449aqz8bxox,0.00165,9.000,0.127,-2.788,0.000,0.027,96.483,,https://api.spotify.com/v1/tracks/48UPSzbZjgc449aqz8bxox,0.328
59.000,Nothing Else Matters,0.0505,0.558,388733,0.364,3ZFwuJwUpIl0GeXsvF1ELf,5.02E-06,4.000,0.0753,-11.258,0.000,0.0265,142.171,,https://api.spotify.com/v1/tracks/3ZFwuJwUpIl0GeXsvF1ELf,0.17
60.000,Livin' la Vida Loca,0.00411,0.425,243160,0.954,0Ph6L4l8dYUuXFmb71Ajnd,0,1.000,0.0555,-3.756,0.000,0.0476,178.043,,https://api.spotify.com/v1/tracks/0Ph6L4l8dYUuXFmb71Ajnd,0.933
61.000,Doo Wop (That Thing),0.0393,0.535,320267,0.505,0uEp9E98JB5awlA084uaIg,0,2.000,0.0923,-8.926,0.000,0.245,99.935,,https://api.spotify.com/v1/tracks/0uEp9E98JB5awlA084uaIg,0.495
62.000,Bitter Sweet Symphony,0.0415,0.389,358427,0.889,5yEPxDjbbzUzyauGtnmVEC,0,9.000,0.463,-6.546,1.000,0.0442,171.121,,https://api.spotify.com/v1/tracks/5yEPxDjbbzUzyauGtnmVEC,0.524
63.000,MMMBop - Single Version,0.00456,0.692,238533,0.912,4PgPnzbAgjCQ2eA6YAWcUw,0.00273,9.000,0.0616,-7.733,1.000,0.0513,104.862,,https://api.spotify.com/v1/tracks/4PgPnzbAgjCQ2eA6YAWcUw,0.642
