track,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,,mode,speechiness,tempo,time_signature,track_href,,valence,,,,,song_id,,,,,,
Drowning (feat. Kodak Black),0.501,0.839,209269,0.81,1f5cbQtDrykjarZVrShaDI,0,5,0.117,-5.274,,0,0.0568,129.014,4,https://api.spotify.com/v1/tracks/1f5cbQtDrykjarZVrShaDI,,0.814,,,9/29/17,,1f5cbQtDrykjarZVrShaDI,,,,,,
Everyday We Lit (feat. PnB Rock),0.128,0.758,197170,0.646,4PzovBqgnSHKd8opsP7IVM,0,7,0.0778,-4.701,,1,0.112,155.955,4,https://api.spotify.com/v1/tracks/4PzovBqgnSHKd8opsP7IVM,,0.589,,,3/3/17,,4PzovBqgnSHKd8opsP7IVM,,,,,,
Now Or Never,0.107,0.67,214801,0.585,7i2DJ88J7jQ8K7zqFX2fW8,1.11E-06,6,0.131,-4.861,,0,0.0354,110.03,4,https://api.spotify.com/v1/tracks/7i2DJ88J7jQ8K7zqFX2fW8,,0.447,,,6/2/17,,7i2DJ88J7jQ8K7zqFX2fW8,,,,,,
In Case You Didn't Know,0.386,0.607,224853,0.536,10M2Ex445zw585Ducldzkw,0,10,0.102,-7.306,,1,0.0305,147.986,4,https://api.spotify.com/v1/tracks/10M2Ex445zw585Ducldzkw,,0.434,,,2/10/17,,10M2Ex445zw585Ducldzkw,,,,,,
Slippery (feat. Gucci Mane),0.307,0.92,304041,0.674,6p8NuHm8uCGnn2Dtbtf7zE,0,1,0.104,-5.662,,0,0.264,141.967,4,https://api.spotify.com/v1/tracks/6p8NuHm8uCGnn2Dtbtf7zE,,0.741,,,1/27/17,,6p8NuHm8uCGnn2Dtbtf7zE,,,,,,
Issues,0.401,0.728,176320,0.415,7vu0JkJh0ldukEYbTVcqd0,0,8,0.0616,-6.852,,1,0.0639,114.145,4,https://api.spotify.com/v1/tracks/7vu0JkJh0ldukEYbTVcqd0,,0.455,,,7/28/17,,7vu0JkJh0ldukEYbTVcqd0,,,,,,
Rolex,0.0837,0.804,238586,0.886,0pSBuHjILhNEo55xK1zrRt,0,1,0.266,-2.512,,1,0.04,144.946,4,https://api.spotify.com/v1/tracks/0pSBuHjILhNEo55xK1zrRt,,0.789,,,3/15/17,,0pSBuHjILhNEo55xK1zrRt,,,,,,
Closer,0.414,0.748,244960,0.524,7BKLCZ1jbUBVqRi2FVlTVw,0,8,0.111,-5.599,,1,0.0338,95.01,4,https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw,,0.661,,,7/29/16,,7BKLCZ1jbUBVqRi2FVlTVw,,,,,,
The Fighter,0.0304,0.681,184040,0.845,5OUSPcqhYTOzpbXzoEvKim,0,11,0.197,-5.147,,0,0.0525,132.023,4,https://api.spotify.com/v1/tracks/5OUSPcqhYTOzpbXzoEvKim,,0.761,,,5/6/16,,5OUSPcqhYTOzpbXzoEvKim,,,,,,
Bad and Boujee (feat. Lil Uzi Vert),0.061,0.927,343150,0.665,4Km5HrUvYTaSUfiSGPJeQR,0,11,0.123,-5.313,,1,0.244,127.076,4,https://api.spotify.com/v1/tracks/4Km5HrUvYTaSUfiSGPJeQR,,0.175,,,1/27/17,,4Km5HrUvYTaSUfiSGPJeQR,,,,,,
iSpy (feat. Lil Yachty),0.378,0.746,253106,0.653,2EEeOnHehOozLq4aS0n6SL,0,7,0.229,-6.745,,1,0.289,75.016,4,https://api.spotify.com/v1/tracks/2EEeOnHehOozLq4aS0n6SL,,0.672,,,12/2/16,,2EEeOnHehOozLq4aS0n6SL,,,,,,
Hurricane,0.0153,0.464,222533,0.813,6xHI9KjUjYT0FPtGO8Mxa1,0,10,0.254,-6.185,,1,0.0416,75.975,4,https://api.spotify.com/v1/tracks/6xHI9KjUjYT0FPtGO8Mxa1,,0.516,,,6/2/17,,6xHI9KjUjYT0FPtGO8Mxa1,,,,,,
Slide,0.498,0.736,230813,0.795,6gpcs5eMhJwax4mIfKDYQk,1.21E-06,1,0.254,-3.299,,0,0.0545,104.066,4,https://api.spotify.com/v1/tracks/6gpcs5eMhJwax4mIfKDYQk,,0.511,,,2/24/17,,6gpcs5eMhJwax4mIfKDYQk,,,,,,
goosebumps,0.0847,0.841,243836,0.728,6gBFPUFcJLzWGx4lenP6h2,0,7,0.149,-3.37,,1,0.0484,130.049,4,https://api.spotify.com/v1/tracks/6gBFPUFcJLzWGx4lenP6h2,,0.43,,,9/16/16,,6gBFPUFcJLzWGx4lenP6h2,,,,,,
T-Shirt,0.242,0.865,242407,0.687,7KOlJ92bu51cltsD9KU5I7,0,10,0.158,-3.744,,0,0.217,139.023,4,https://api.spotify.com/v1/tracks/7KOlJ92bu51cltsD9KU5I7,,0.486,,,1/27/17,,7KOlJ92bu51cltsD9KU5I7,,,,,,
Scars To Your Beautiful,0.0285,0.573,230226,0.739,0prNGof3XqfTvNDxHonvdK,0,0,0.111,-5.74,,1,0.129,97.085,4,https://api.spotify.com/v1/tracks/0prNGof3XqfTvNDxHonvdK,,0.451,,,11/13/15,,0prNGof3XqfTvNDxHonvdK,,,,,,
