row,id,track,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track_href
0,6e40mgJiCid5HRAGrbpGA6,I Want It That Way,0.216,0.689,213600,0.702,0,F#,0.159,-5.642,Minor,0.0261,99.031,,0.484,https://api.spotify.com/v1/tracks/6e40mgJiCid5HRAGrbpGA6
1,4r8lRYnoOGdEi6YyI5OC1o,Bye Bye Bye,0.0408,0.614,200560,0.928,0.00104,G#,0.0845,-4.806,Minor,0.0516,172.656,,0.879,https://api.spotify.com/v1/tracks/4r8lRYnoOGdEi6YyI5OC1o
2,1Je1IMUlBXcx1Fz0WE7oPT,Wannabe,0.101,0.768,173027,0.864,0,B,0.162,-6.145,Major,0.0324,110.008,,0.891,https://api.spotify.com/v1/tracks/1Je1IMUlBXcx1Fz0WE7oPT
3,3QHONiXGMGU3z68mQInncF,I'll Be Missing You (feat. 112),0.0522,0.862,301520,0.479,0.00126,G,0.589,-9.199,Major,0.0646,109.878,,0.925,https://api.spotify.com/v1/tracks/3QHONiXGMGU3z68mQInncF
4,1di1BEgJYzPvXUuinsYJGP,Everybody (Backstreet's Back) - Radio Edit,0.0352,0.731,225360,0.853,0,A#,0.268,-4.219,Minor,0.0363,108.016,,0.605,https://api.spotify.com/v1/tracks/1di1BEgJYzPvXUuinsYJGP
5,0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,0.164,0.335,241107,0.625,0,G,0.0708,-7.462,Major,0.0386,150.277,,0.346,https://api.spotify.com/v1/tracks/0bYg9bo50gSsH3LtXe2SQn
6,2CT3r93YuSHtm57mjxvjhH,Wonderwall,0.000807,0.409,258613,0.892,0,D,0.207,-4.373,Major,0.0336,174.426,,0.651,https://api.spotify.com/v1/tracks/2CT3r93YuSHtm57mjxvjhH
7,2IZZqH4K02UIYg5EohpNHF,Zombie,0.0163,0.299,306411,0.613,0.00359,G,0.368,-9.012,Major,0.0347,166.96,,0.306,https://api.spotify.com/v1/tracks/2IZZqH4K02UIYg5EohpNHF
8,2Cy7QY8HPLk925AyNAt6OG,Black or White - Single Version,0.0824,0.741,202853,0.894,0.0527,E,0.089,-3.826,Major,0.0495,114.869,,0.96,https://api.spotify.com/v1/tracks/2Cy7QY8HPLk925AyNAt6OG
9,6Qyc6fS4DsZjB2mRW9DsQs,Iris,0.00125,0.315,289533,0.715,7.97E-06,B,0.0942,-8.072,Minor,0.0362,155.925,,0.497,https://api.spotify.com/v1/tracks/6Qyc6fS4DsZjB2mRW9DsQs
10,0AvV49z4EPz5ocYN7eKGAK,No Diggity,0.303,0.868,304600,0.646,0,C#,0.284,-4.674,Minor,0.288,88.641,,0.67,https://api.spotify.com/v1/tracks/0AvV49z4EPz5ocYN7eKGAK
11,7woW97CfcWaKtuC6W5BP2K,Heal the World,0.537,0.534,384307,0.485,1.79E-06,A,0.104,-8.045,Major,0.0467,80.923,,0.102,https://api.spotify.com/v1/tracks/7woW97CfcWaKtuC6W5BP2K
12,2gSyc23Hua25fqSFpgAh6W,Say My Name,0.274,0.522,271333,0.676,0,F,0.134,-3.571,Minor,0.16,67.427,,0.746,https://api.spotify.com/v1/tracks/2gSyc23Hua25fqSFpgAh6W
13,5lA6mFOvaiienokVbTZEQx,Mambo No. 5 (A Little Bit of...),0.107,0.607,219600,0.802,0,F,0.305,-6.849,Minor,0.403,174.201,,0.901,https://api.spotify.com/v1/tracks/5lA6mFOvaiienokVbTZEQx
14,4pZ2aqPV39Gw3FuHrWKWnM,Kiss Me,0.116,0.529,205240,0.741,1.23E-06,D#,0.0736,-5.661,Major,0.0268,100.004,,0.455,https://api.spotify.com/v1/tracks/4pZ2aqPV39Gw3FuHrWKWnM
15,698mT3CTx8JEnp7twwJrGG,Don't Look Back in Anger,0.0303,0.349,287827,0.912,8.03E-06,C,0.12,-3.603,Major,0.0692,164.001,,0.224,https://api.spotify.com/v1/tracks/698mT3CTx8JEnp7twwJrGG
