track,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,,mode,speechiness,tempo,time_signature,track_href,,valence,,,
In Case You Didn't Know,0.386,0.607,224853,0.536,10M2Ex445zw585Ducldzkw,0,10,0.102,-7.306,,1,0.0305,147.986,4,https://api.spotify.com/v1/tracks/10M2Ex445zw585Ducldzkw,,0.434,,,
Slippery (feat. Gucci Mane),0.307,0.92,304041,0.674,6p8NuHm8uCGnn2Dtbtf7zE,0,1,0.104,-5.662,,0,0.264,141.967,4,https://api.spotify.com/v1/tracks/6p8NuHm8uCGnn2Dtbtf7zE,,0.741,,,
Issues,0.401,0.728,176320,0.415,7vu0JkJh0ldukEYbTVcqd0,0,8,0.0616,-6.852,,1,0.0639,114.145,4,https://api.spotify.com/v1/tracks/7vu0JkJh0ldukEYbTVcqd0,,0.455,,,
Rolex,0.0837,0.804,238586,0.886,0pSBuHjILhNEo55xK1zrRt,0,1,0.266,-2.512,,1,0.04,144.946,4,https://api.spotify.com/v1/tracks/0pSBuHjILhNEo55xK1zrRt,,0.789,,,
Closer,0.414,0.748,244960,0.524,7BKLCZ1jbUBVqRi2FVlTVw,0,8,0.111,-5.599,,1,0.0338,95.01,4,https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw,,0.661,,,
The Fighter,0.0304,0.681,184040,0.845,5OUSPcqhYTOzpbXzoEvKim,0,11,0.197,-5.147,,0,0.0525,132.023,4,https://api.spotify.com/v1/tracks/5OUSPcqhYTOzpbXzoEvKim,,0.761,,,
Bad and Boujee (feat. Lil Uzi Vert),0.061,0.927,343150,0.665,4Km5HrUvYTaSUfiSGPJeQR,0,11,0.123,-5.313,,1,0.244,127.076,4,https://api.spotify.com/v1/tracks/4Km5HrUvYTaSUfiSGPJeQR,,0.175,,,
iSpy (feat. Lil Yachty),0.378,0.746,253106,0.653,2EEeOnHehOozLq4aS0n6SL,0,7,0.229,-6.745,,1,0.289,75.016,4,https://api.spotify.com/v1/tracks/2EEeOnHehOozLq4aS0n6SL,,0.672,,,
Hurricane,0.0153,0.464,222533,0.813,6xHI9KjUjYT0FPtGO8Mxa1,0,10,0.254,-6.185,,1,0.0416,75.975,4,https://api.spotify.com/v1/tracks/6xHI9KjUjYT0FPtGO8Mxa1,,0.516,,,
Slide,0.498,0.736,230813,0.795,6gpcs5eMhJwax4mIfKDYQk,1.21E-06,1,0.254,-3.299,,0,0.0545,104.066,4,https://api.spotify.com/v1/tracks/6gpcs5eMhJwax4mIfKDYQk,,0.511,,,
goosebumps,0.0847,0.841,243836,0.728,6gBFPUFcJLzWGx4lenP6h2,0,7,0.149,-3.37,,1,0.0484,130.049,4,https://api.spotify.com/v1/tracks/6gBFPUFcJLzWGx4lenP6h2,,0.43,,,
T-Shirt,0.242,0.865,242407,0.687,7KOlJ92bu51cltsD9KU5I7,0,10,0.158,-3.744,,0,0.217,139.023,4,https://api.spotify.com/v1/tracks/7KOlJ92bu51cltsD9KU5I7,,0.486,,,
Scars To Your Beautiful,0.0285,0.573,230226,0.739,0prNGof3XqfTvNDxHonvdK,0,0,0.111,-5.74,,1,0.129,97.085,4,https://api.spotify.com/v1/tracks/0prNGof3XqfTvNDxHonvdK,,0.451,,,
Swang,0.2,0.681,208120,0.314,6mapJIPnQ23RTAevUoE0DL,9.82E-06,8,0.1,-9.319,,1,0.0581,139.992,4,https://api.spotify.com/v1/tracks/6mapJIPnQ23RTAevUoE0DL,,0.166,,,
Rockabye (feat. Sean Paul & Anne-Marie),0.406,0.72,251088,0.763,5knuzwU65gJK7IF5yJsuaW,0,9,0.18,-4.068,,0,0.0523,101.965,4,https://api.spotify.com/v1/tracks/5knuzwU65gJK7IF5yJsuaW,,0.742,,,
Deja Vu,0.0931,0.62,234213,0.69,0H8XeaJunhvpBdBFIYi6Sh,0,7,0.131,-6.508,,1,0.0493,133.935,4,https://api.spotify.com/v1/tracks/0H8XeaJunhvpBdBFIYi6Sh,,0.331,,,
Both (feat. Drake),0.119,0.85,190311,0.405,5tFep7dXGd7vEJ668wTPux,0.000118,7,0.0707,-7.509,,0,0.225,139.976,4,https://api.spotify.com/v1/tracks/5tFep7dXGd7vEJ668wTPux,,0.344,,,
Bounce Back,0.105,0.77,222360,0.567,0SGkqnVQo9KPytSri1H6cF,0,2,0.125,-5.698,,1,0.175,81.477,4,https://api.spotify.com/v1/tracks/0SGkqnVQo9KPytSri1H6cF,,0.26,,,
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",0.0578,0.737,245653,0.452,2y5aJvzXhHPA94U5GFAcXe,1.48E-05,0,0.187,-8.366,,1,0.0534,117.962,4,https://api.spotify.com/v1/tracks/2y5aJvzXhHPA94U5GFAcXe,,0.096,,,
I Feel It Coming,0.426,0.773,269186,0.819,3dhjNA0jGA8vHBQ1VdD6vV,0,0,0.0679,-5.946,,0,0.118,92.99,4,https://api.spotify.com/v1/tracks/3dhjNA0jGA8vHBQ1VdD6vV,,0.585,,,
Love On The Brain,0.0717,0.509,224000,0.637,2aksifNn5ph8igDOkPBA02,1.08E-05,4,0.0789,-4.83,,0,0.0471,172.006,3,https://api.spotify.com/v1/tracks/2aksifNn5ph8igDOkPBA02,,0.378,,,
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",0.0106,0.669,237546,0.832,1WkMMavIMc4JZ8cfMmxHkI,0,0,0.0968,-5.72,,1,0.0682,113.035,4,https://api.spotify.com/v1/tracks/1WkMMavIMc4JZ8cfMmxHkI,,0.7,,,
Mercy,0.84,0.638,217120,0.367,2VIPU72L6tIR4w8J8ap6Kp,0,4,0.0999,-7.906,,1,0.0266,71.957,4,https://api.spotify.com/v1/tracks/2VIPU72L6tIR4w8J8ap6Kp,,0.219,,,
Fake Love,0.108,0.927,210937,0.488,343YBumqHu19cGoGARUTsd,0,9,0.196,-9.433,,0,0.42,133.987,4,https://api.spotify.com/v1/tracks/343YBumqHu19cGoGARUTsd,,0.605,,,
Starboy,0.141,0.678,230453,0.588,7MXVkk9YMctZqd1Srtv4MB,6.35E-06,7,0.137,-7.015,,1,0.276,186.005,4,https://api.spotify.com/v1/tracks/7MXVkk9YMctZqd1Srtv4MB,,0.486,,,
Bad Things (with Camila Cabello),0.214,0.697,239293,0.691,1PSBzsahR2AKwLJgx8ehBj,0,2,0.185,-4.757,,1,0.146,137.853,4,https://api.spotify.com/v1/tracks/1PSBzsahR2AKwLJgx8ehBj,,0.305,,,
Million Reasons,0.437,0.665,205280,0.424,7dZ1Odmx9jWIweQSatnRqo,0,0,0.107,-7.838,,1,0.0444,129.911,4,https://api.spotify.com/v1/tracks/7dZ1Odmx9jWIweQSatnRqo,,0.134,,,
Water Under the Bridge,0.0189,0.596,240426,0.838,4vb4mFvYsr2h6enhjJsq9Y,1.54E-05,5,0.108,-6.52,,0,0.0704,94.982,4,https://api.spotify.com/v1/tracks/4vb4mFvYsr2h6enhjJsq9Y,,0.472,,,
Black Beatles,0.142,0.794,291893,0.632,6fujklziTHa8uoM5OQSfIo,0,0,0.128,-6.163,,1,0.0649,145.926,4,https://api.spotify.com/v1/tracks/6fujklziTHa8uoM5OQSfIo,,0.355,,,
Caroline,0.17,0.941,209640,0.335,5hTpBe8h35rJ67eAWHQsJx,0,5,0.262,-10.179,,0,0.505,120.041,4,https://api.spotify.com/v1/tracks/5hTpBe8h35rJ67eAWHQsJx,,0.707,,,
Heathens,0.0841,0.732,195920,0.396,6i0V12jOa3mr6uu4WYhUBr,3.58E-05,4,0.105,-9.348,,0,0.0286,90.024,4,https://api.spotify.com/v1/tracks/6i0V12jOa3mr6uu4WYhUBr,,0.548,,,
All Time Low,0.0508,0.584,217603,0.569,0SuLAslEMFZAXf0SwY7syi,0,0,0.0924,-4.259,,1,0.166,89.779,4,https://api.spotify.com/v1/tracks/0SuLAslEMFZAXf0SwY7syi,,0.501,,,
Side To Side,0.0513,0.65,226160,0.736,1pKeFVVUOPjFsOABub0OaV,0,6,0.235,-5.84,,0,0.229,159.174,4,https://api.spotify.com/v1/tracks/1pKeFVVUOPjFsOABub0OaV,,0.612,,,
Treat You Better,0.106,0.444,187973,0.819,3QGsuHI8jO1Rx4JWLUh9jd,0,10,0.107,-4.078,,0,0.341,82.695,4,https://api.spotify.com/v1/tracks/3QGsuHI8jO1Rx4JWLUh9jd,,0.747,,,
Broccoli,0.236,0.886,225205,0.525,0qy5D3OJre7SPJNMOL9I71,0,8,0.057,-7.39,,1,0.132,145.99,4,https://api.spotify.com/v1/tracks/0qy5D3OJre7SPJNMOL9I71,,0.708,,,
This Town,0.72,0.678,232852,0.401,0qvzXomUDJVaUboy2wMfiS,0,6,0.118,-8.408,,0,0.0312,111.855,4,https://api.spotify.com/v1/tracks/0qvzXomUDJVaUboy2wMfiS,,0.194,,,
Juju On That Beat (TZ Anthem),0.00381,0.807,144244,0.887,1lItf5ZXJc1by9SbPeljFd,0,1,0.391,-3.892,,1,0.275,160.517,4,https://api.spotify.com/v1/tracks/1lItf5ZXJc1by9SbPeljFd,,0.78,,,
Starving,0.378,0.729,181880,0.615,4Ce37cRWvM1vIGGynKcs22,0,4,0.105,-4.238,,1,0.0647,99.989,4,https://api.spotify.com/v1/tracks/4Ce37cRWvM1vIGGynKcs22,,0.508,,,
Cheap Thrills,0.0472,0.628,211666,0.698,3S4px9f4lceWdKf0gWciFu,0.00143,6,0.0907,-5.608,,0,0.105,89.976,4,https://api.spotify.com/v1/tracks/3S4px9f4lceWdKf0gWciFu,,0.732,,,
Don't Let Me Down,0.157,0.532,208373,0.869,1i1fxkWeaMmKEB4T7zqbzK,0.00508,11,0.136,-5.094,,1,0.172,159.803,4,https://api.spotify.com/v1/tracks/1i1fxkWeaMmKEB4T7zqbzK,,0.422,,,
Blue Ain't Your Color,0.606,0.686,230600,0.417,6wycnu8FWXsj68ig7BEot9,1.79E-06,7,0.0844,-7.787,,1,0.0363,82.407,3,https://api.spotify.com/v1/tracks/6wycnu8FWXsj68ig7BEot9,,0.451,,,
Chill Bill,0.0312,0.886,177184,0.427,5uDASfU19gDxSjW8cnCaBp,0.00099,6,0.0906,-10.028,,1,0.145,108.034,4,https://api.spotify.com/v1/tracks/5uDASfU19gDxSjW8cnCaBp,,0.23,,,
Cold Water,0.055,0.602,185360,0.797,7zsXy7vlHdItvUSH8EwQss,0,6,0.187,-5.084,,0,0.0534,92.928,4,https://api.spotify.com/v1/tracks/7zsXy7vlHdItvUSH8EwQss,,0.492,,,
In the Name of Love,0.109,0.501,195706,0.519,23L5CiUhw2jV1OIMwthR3S,0,4,0.454,-5.88,,0,0.0409,133.99,4,https://api.spotify.com/v1/tracks/23L5CiUhw2jV1OIMwthR3S,,0.168,,,
You Was Right,0.069,0.843,163944,0.359,2ANLarE8yHVsLWW21nj79M,0,0,0.12,-7.417,,1,0.461,81.987,4,https://api.spotify.com/v1/tracks/2ANLarE8yHVsLWW21nj79M,,0.156,,,
"i hate u, i love u (feat. olivia o'brien)",0.687,0.492,251033,0.275,7vRriwrloYVaoAe3a9wJHe,0,6,0.101,-13.4,,0,0.3,92.6,4,https://api.spotify.com/v1/tracks/7vRriwrloYVaoAe3a9wJHe,,0.18,,,
OOOUUU,0.533,0.64,234525,0.819,0D21XvHcVsIvJM6FcGY2BT,0,7,0.156,-4.108,,1,0.455,166.012,4,https://api.spotify.com/v1/tracks/0D21XvHcVsIvJM6FcGY2BT,,0.623,,,
Too Much Sauce,0.0496,0.96,223093,0.547,5oyUurs28XRagLa8lgm6V3,0,6,0.216,-6.992,,0,0.0786,121.01,4,https://api.spotify.com/v1/tracks/5oyUurs28XRagLa8lgm6V3,,0.186,,,
Unsteady,0.178,0.389,193546,0.665,7lGKEWMXVWWTt3X71Bv44I,0.000732,0,0.116,-6.169,,1,0.0644,117.055,4,https://api.spotify.com/v1/tracks/7lGKEWMXVWWTt3X71Bv44I,,0.199,,,
"Mary, Did You Know?",0.302,0.497,203373,0.312,4z8sz6E4YyFuEkv5o7IJni,0,11,0.0968,-9.088,,0,0.0269,105.036,4,https://api.spotify.com/v1/tracks/4z8sz6E4YyFuEkv5o7IJni,,0.177,,,
She's Mine Pt. 1,0.776,0.435,209080,0.202,0HtOJj7Kl74s1Ngf3MWeif,0.0976,2,0.245,-15.097,,1,0.0702,139.574,4,https://api.spotify.com/v1/tracks/0HtOJj7Kl74s1Ngf3MWeif,,0.0429,,,
Needed Me,0.11,0.671,191600,0.314,1Tt4sE4pXi57mTD1GCzsqm,0,5,0.0825,-8.091,,0,0.244,110.898,4,https://api.spotify.com/v1/tracks/1Tt4sE4pXi57mTD1GCzsqm,,0.296,,,
One Dance,0.00842,0.796,173986,0.61,1zi7xx7UVEFkmKfv06H8x0,0.00286,1,0.351,-5.857,,1,0.0516,103.99,4,https://api.spotify.com/v1/tracks/1zi7xx7UVEFkmKfv06H8x0,,0.391,,,
Ride,0.00835,0.645,214506,0.713,2Z8WuEywRWYTKe1NybPQEW,0,6,0.113,-5.355,,1,0.0393,74.989,4,https://api.spotify.com/v1/tracks/2Z8WuEywRWYTKe1NybPQEW,,0.566,,,
This Is What You Came For,0.199,0.63,222160,0.928,0azC730Exh71aQlOt9Zj3y,0.124,9,0.148,-2.787,,0,0.0331,123.963,4,https://api.spotify.com/v1/tracks/0azC730Exh71aQlOt9Zj3y,,0.465,,,
Panda,0.0235,0.72,247866,0.748,275a9yzwGB6ncAW4SxY7q3,0,10,0.369,-5.522,,0,0.393,145.22,4,https://api.spotify.com/v1/tracks/275a9yzwGB6ncAW4SxY7q3,,0.246,,,
"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",0.255,0.502,243490,0.786,4dASQiO1Eoo3RJvt74FtXB,0,9,0.65,-4.378,,0,0.317,169.021,4,https://api.spotify.com/v1/tracks/4dASQiO1Eoo3RJvt74FtXB,,0.739,,,
No Problem (feat. Lil Wayne & 2 Chainz),0.156,0.652,304606,0.795,0v9Wz8o0BT8DU38R4ddjeH,0,11,0.123,-5.192,,0,0.174,135.018,4,https://api.spotify.com/v1/tracks/0v9Wz8o0BT8DU38R4ddjeH,,0.788,,,
Send My Love (To Your New Lover),0.0415,0.69,223080,0.524,4BHzQ9C00ceJxfG16AlNWb,3.16E-06,6,0.17,-8.39,,0,0.103,164.023,4,https://api.spotify.com/v1/tracks/4BHzQ9C00ceJxfG16AlNWb,,0.562,,,
We Don't Talk Anymore (feat. Selena Gomez),0.621,0.728,217706,0.563,37FXw5QGFN7uwwsLy8uAc0,0,1,0.179,-8.053,,0,0.134,100.017,4,https://api.spotify.com/v1/tracks/37FXw5QGFN7uwwsLy8uAc0,,0.352,,,
"Sit Still, Look Pretty",0.141,0.657,202221,0.739,0EGuSSpuu9wmHCtvb4PdLO,0,2,0.178,-4.081,,1,0.274,181.994,4,https://api.spotify.com/v1/tracks/0EGuSSpuu9wmHCtvb4PdLO,,0.543,,,
Hymn For The Weekend,0.255,0.49,258826,0.743,3RiPr603aXAoi4GHyXx0uy,7.21E-06,0,0.3,-5.155,,0,0.0409,89.974,4,https://api.spotify.com/v1/tracks/3RiPr603aXAoi4GHyXx0uy,,0.363,,,
Controlla,0.0962,0.747,245226,0.477,4CpKEkdGbOJV51cSvx7SoG,0,10,0.114,-11.062,,0,0.276,93.44,4,https://api.spotify.com/v1/tracks/4CpKEkdGbOJV51cSvx7SoG,,0.321,,,
Into You,0.0162,0.623,244453,0.734,2meEiZKWkiN28gITzFwQo5,1.90E-06,9,0.145,-5.95,,1,0.107,107.853,4,https://api.spotify.com/v1/tracks/2meEiZKWkiN28gITzFwQo5,,0.372,,,
For Free,0.0173,0.916,183695,0.571,4JDZl9nKIAhAhDjw753u4X,1.11E-06,10,0.153,-8.241,,0,0.2,103.521,4,https://api.spotify.com/v1/tracks/4JDZl9nKIAhAhDjw753u4X,,0.498,,,
Work from Home,0.103,0.803,214480,0.585,4tCtwWceOPWzenK2HAIJSb,3.94E-06,8,0.0644,-5.861,,1,0.0432,105.017,4,https://api.spotify.com/v1/tracks/4tCtwWceOPWzenK2HAIJSb,,0.593,,,
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",0.0114,0.632,215413,0.701,7K5dzhGda2vRTaAWYI3hrb,0,7,0.108,-5.921,,1,0.146,162.958,4,https://api.spotify.com/v1/tracks/7K5dzhGda2vRTaAWYI3hrb,,0.497,,,
Low Life,0.337,0.722,313546,0.331,7EiZI6JVHllARrX9PUvAdX,0.283,8,0.146,-7.789,,1,0.0725,143.974,4,https://api.spotify.com/v1/tracks/7EiZI6JVHllARrX9PUvAdX,,0.102,,,
H.O.L.Y.,0.385,0.525,194186,0.685,0BCy325UZyR9z0t0uxwn2N,0,7,0.0731,-3.954,,0,0.0351,78.003,4,https://api.spotify.com/v1/tracks/0BCy325UZyR9z0t0uxwn2N,,0.54,,,
I Took A Pill In Ibiza - Seeb Remix,0.0353,0.663,197933,0.713,1MtUq6Wp1eQ8PC6BbPCj8P,7.68E-06,7,0.0843,-6.647,,0,0.112,101.965,4,https://api.spotify.com/v1/tracks/1MtUq6Wp1eQ8PC6BbPCj8P,,0.69,,,
Never Be Like You (feat. Kai),0.453,0.444,234909,0.557,5WI2ltQIdwgzf1SNE76JyR,0,0,0.152,-5.476,,1,0.0602,115.058,4,https://api.spotify.com/v1/tracks/5WI2ltQIdwgzf1SNE76JyR,,0.296,,,
7 Years,0.287,0.765,237300,0.473,5kqIPrATaCc2LqxVWzQGbk,0,10,0.391,-5.829,,1,0.0514,119.992,4,https://api.spotify.com/v1/tracks/5kqIPrATaCc2LqxVWzQGbk,,0.34,,,
Stressed Out,0.0462,0.734,202333,0.637,3CRDbSIZ4r5MsZ0YwxuEkn,2.29E-05,4,0.0602,-5.677,,0,0.141,169.977,4,https://api.spotify.com/v1/tracks/3CRDbSIZ4r5MsZ0YwxuEkn,,0.648,,,
Cake By The Ocean,0.156,0.774,219146,0.765,76hfruVvmfQbw0eYn1nmeC,0,4,0.0373,-5.439,,0,0.0502,119.001,4,https://api.spotify.com/v1/tracks/76hfruVvmfQbw0eYn1nmeC,,0.917,,,
Love Yourself,0.856,0.607,233720,0.376,50kpGaPAhYJ3sGmk6vplg0,0,4,0.285,-9.954,,1,0.453,102.541,4,https://api.spotify.com/v1/tracks/50kpGaPAhYJ3sGmk6vplg0,,0.545,,,
Let It Go,0.818,0.546,260533,0.311,13HVjjWUZFaWilh2QUJKsP,1.65E-05,1,0.107,-10.396,,1,0.0288,147.464,4,https://api.spotify.com/v1/tracks/13HVjjWUZFaWilh2QUJKsP,,0.246,,,
Dangerous Woman,0.0529,0.662,235946,0.602,7l94dyN2hX9c6wWcZQuOGJ,0,4,0.356,-5.369,,0,0.0401,133.969,3,https://api.spotify.com/v1/tracks/7l94dyN2hX9c6wWcZQuOGJ,,0.29,,,
My House,0.0215,0.688,192190,0.702,6Knv6wdA0luoMUuuoYi2i1,0,7,0.128,-4.792,,0,0.0499,94.006,4,https://api.spotify.com/v1/tracks/6Knv6wdA0luoMUuuoYi2i1,,0.74,,,
Lost Boy,0.965,0.71,275280,0.0565,4h0zU3O9R5xzuTmNO7dNDU,0,7,0.0889,-15.099,,1,0.0534,123.994,4,https://api.spotify.com/v1/tracks/4h0zU3O9R5xzuTmNO7dNDU,,0.348,,,
Never Forget You,0.00312,0.583,213427,0.732,6hmhG1b4LEyNuashVvuIAo,9.86E-06,11,0.269,-5.728,,0,0.0457,145.992,4,https://api.spotify.com/v1/tracks/6hmhG1b4LEyNuashVvuIAo,,0.276,,,
"Me, Myself & I",0.0186,0.757,251466,0.672,40YcuQysJ0KlGQTeGUosTC,0,0,0.158,-6.524,,0,0.0955,111.996,4,https://api.spotify.com/v1/tracks/40YcuQysJ0KlGQTeGUosTC,,0.382,,,
PILLOWTALK,0.117,0.584,202746,0.7,0PDUDa38GO8lMxLCRc4lL1,0,11,0.0939,-4.275,,1,0.0456,124.944,4,https://api.spotify.com/v1/tracks/0PDUDa38GO8lMxLCRc4lL1,,0.438,,,
Cut It (feat. Young Dolph),0.135,0.875,222600,0.673,376KnY4TrgBITxjlnbnmIy,0,7,0.292,-4.184,,1,0.0932,130,4,https://api.spotify.com/v1/tracks/376KnY4TrgBITxjlnbnmIy,,0.231,,,
oui,0.192,0.715,238320,0.703,0PJIbOdMs3bd5AT8liULMQ,0,5,0.113,-3.825,,1,0.0503,119.749,4,https://api.spotify.com/v1/tracks/0PJIbOdMs3bd5AT8liULMQ,,0.596,,,
Really Really,0.00427,0.762,232093,0.666,10I3CmmwT0BkOVhduDy53o,0,0,0.127,-6.055,,1,0.0916,118.97,4,https://api.spotify.com/v1/tracks/10I3CmmwT0BkOVhduDy53o,,0.278,,,
2 Phones,0.157,0.895,240000,0.681,0wdKiSBUT7aZkXUIdJWcwC,0,7,0.189,-5.267,,0,0.358,121.918,4,https://api.spotify.com/v1/tracks/0wdKiSBUT7aZkXUIdJWcwC,,0.554,,,
Exchange,0.108,0.53,194613,0.433,43PuMrRfbyyuz4QpZ3oAwN,0,6,0.135,-10.598,,1,0.185,160.14,4,https://api.spotify.com/v1/tracks/43PuMrRfbyyuz4QpZ3oAwN,,0.274,,,
One Call Away,0.403,0.667,194453,0.613,7soJgKhQTO8hLP2JPRkL5O,0,1,0.115,-5.353,,1,0.0344,91.024,4,https://api.spotify.com/v1/tracks/7soJgKhQTO8hLP2JPRkL5O,,0.47,,,
Stitches,0.0152,0.746,206880,0.754,5jsw9uXEGuKyJzs0boZ1bT,0,1,0.0486,-6.681,,1,0.067,149.882,4,https://api.spotify.com/v1/tracks/5jsw9uXEGuKyJzs0boZ1bT,,0.764,,,
Don't Hurt Yourself,0.346,0.635,221688,0.459,0W2BbMWtcElQhaROLbzXTU,0,11,0.111,-7.932,,1,0.0346,130.036,4,https://api.spotify.com/v1/tracks/0W2BbMWtcElQhaROLbzXTU,,0.365,,,
Jumpman,0.0563,0.852,205879,0.553,27GmP9AWRs744SzKcpJsTZ,0,1,0.332,-7.286,,1,0.187,142.072,4,https://api.spotify.com/v1/tracks/27GmP9AWRs744SzKcpJsTZ,,0.656,,,
