,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
Sweet but Psycho,25sgk305KZfyuqVBQIahim,0.0691,0.719,187436,0.704,0.0,1,0.166,-4.724,1,0.0476,133.002,0.628,https://api.spotify.com/v1/tracks/25sgk305KZfyuqVBQIahim
Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR,0.15,0.703,193613,0.868,0.132,7,0.104,-4.661,0,0.0291,121.03,0.733,https://api.spotify.com/v1/tracks/1NDxZ7cFAo481dtYWdrUnR
Closer,7BKLCZ1jbUBVqRi2FVlTVw,0.414,0.748,244960,0.524,0.0,8,0.111,-5.599,1,0.0338,95.01,0.661,https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,0.153,0.841,212500,0.798,3.33e-06,1,0.0618,-4.206,0,0.229,95.948,0.591,https://api.spotify.com/v1/tracks/4w8niZpiMy6qz1mntFA5uM
Suncity (feat. Empress Of),4AhSkRYioEIfGvCV19peYN,0.107,0.695,189493,0.639,0.000657,7,0.118,-6.897,0,0.153,90.027,0.344,https://api.spotify.com/v1/tracks/4AhSkRYioEIfGvCV19peYN
Better To Lie (with Jesse & Swae Lee),61sqsOPon94ecMskeEXwev,0.0376,0.758,176056,0.602,4.77e-06,10,0.111,-7.909,0,0.094,155.038,0.519,https://api.spotify.com/v1/tracks/61sqsOPon94ecMskeEXwev
Polaroid,1wsLHgXJ4SKIfd5ePSX1hD,0.293,0.652,193377,0.897,0.0,7,0.0722,-4.481,0,0.036,114.033,0.475,https://api.spotify.com/v1/tracks/1wsLHgXJ4SKIfd5ePSX1hD
Woman Like Me (feat. Nicki Minaj),6rrTr2HEAzlpC4KWZxF3S1,0.173,0.757,228207,0.849,0.0,5,0.0878,-3.424,0,0.0536,150.036,0.826,https://api.spotify.com/v1/tracks/6rrTr2HEAzlpC4KWZxF3S1
No Drama (feat. Craig David),6IIOcnq93QAaKeRX1cs16v,0.168,0.73,153310,0.934,2.56e-05,4,0.142,-3.995,1,0.078,122.018,0.758,https://api.spotify.com/v1/tracks/6IIOcnq93QAaKeRX1cs16v
Kiss and Make Up,7jr3iPu4O4bTCVwLMbdU2i,0.0658,0.678,189173,0.729,0.0,8,0.303,-4.188,1,0.137,99.895,0.643,https://api.spotify.com/v1/tracks/7jr3iPu4O4bTCVwLMbdU2i
Only You (with Little Mix),54l9GJGQ1UCFKe2tzt1Vxt,0.0829,0.607,189401,0.74,0.0,4,0.105,-4.793,0,0.172,108.05,0.219,https://api.spotify.com/v1/tracks/54l9GJGQ1UCFKe2tzt1Vxt
You Come First (feat. Saweetie),5Ef2noaxqTAfa5gLVw05OJ,0.0352,0.745,191255,0.719,0.0,11,0.0639,-4.291,1,0.19,99.962,0.611,https://api.spotify.com/v1/tracks/5Ef2noaxqTAfa5gLVw05OJ
Chasing Highs,3GJjiToqnCxTm5rOaqoxdi,0.271,0.792,195678,0.775,1.55e-05,2,0.406,-4.575,0,0.0532,111.957,0.521,https://api.spotify.com/v1/tracks/3GJjiToqnCxTm5rOaqoxdi
MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,0.0141,0.817,210368,0.539,0.000496,6,0.099,-6.349,0,0.0621,97.062,0.158,https://api.spotify.com/v1/tracks/116H0KvKr2Zl4RPuVBruDO
1999,05mAIVLkIWc2d1UBYZBCp8,0.0227,0.739,189000,0.742,1.39e-06,7,0.229,-4.586,1,0.0329,124.016,0.659,https://api.spotify.com/v1/tracks/05mAIVLkIWc2d1UBYZBCp8
Diamond Heart,4J4zx8xGJpuGndrVc06KaT,0.129,0.499,239835,0.638,0.0,0,0.631,-6.145,1,0.0438,89.98,0.253,https://api.spotify.com/v1/tracks/4J4zx8xGJpuGndrVc06KaT
Side Effects (feat. Emily Warren),4TbA9zUfQLenNshTO9la6X,0.0013,0.662,173840,0.741,0.0,8,0.566,-5.256,1,0.0317,110.032,0.532,https://api.spotify.com/v1/tracks/4TbA9zUfQLenNshTO9la6X
No One Compares To You,2jZIfoe48eUeOEnP9Ho4h2,0.123,0.703,184080,0.748,0.0,1,0.0642,-6.047,1,0.0435,111.943,0.625,https://api.spotify.com/v1/tracks/2jZIfoe48eUeOEnP9Ho4h2
"Back to Life - from ""Bumblebee""",16geeCnXrbiomV1IZ8Kudc,0.0127,0.638,233858,0.659,0.0,10,0.187,-6.215,0,0.0627,103.029,0.341,https://api.spotify.com/v1/tracks/16geeCnXrbiomV1IZ8Kudc
It's Not Living (If It's Not With You),0D4yVl9Pn45xW2s63MFCmT,0.000254,0.618,248336,0.837,0.000378,1,0.0618,-5.338,1,0.0304,121.227,0.526,https://api.spotify.com/v1/tracks/0D4yVl9Pn45xW2s63MFCmT
Bottled Up,2LHIwubgdCjbbBaoP9gkWB,0.107,0.843,199301,0.58,1.84e-05,2,0.0645,-4.271,1,0.0591,98.023,0.638,https://api.spotify.com/v1/tracks/2LHIwubgdCjbbBaoP9gkWB
Emotion,09rj7jigutgAkveJGpSDBT,0.0125,0.402,190330,0.75,0.00192,0,0.396,-6.607,1,0.0567,146.223,0.502,https://api.spotify.com/v1/tracks/09rj7jigutgAkveJGpSDBT
Control (feat. Bryce Vine & Dan Caplen),4e9rEIp7jCIi8gIovPWpGq,0.122,0.739,200400,0.698,0.0,11,0.0824,-4.826,0,0.149,108.917,0.715,https://api.spotify.com/v1/tracks/4e9rEIp7jCIi8gIovPWpGq
Woke Up Late,0UhqzB9y4l055H7FifXE1f,0.0282,0.695,182455,0.645,0.0,5,0.209,-5.965,1,0.0902,119.094,0.413,https://api.spotify.com/v1/tracks/0UhqzB9y4l055H7FifXE1f
