,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
SexyBack,0O45fw2L5vsWpdsOdXwNAR,0.0584,0.967,242733,0.583,0.0,7,0.0519,-5.562,0,0.0789,117.0,0.964,https://api.spotify.com/v1/tracks/0O45fw2L5vsWpdsOdXwNAR
If I Ain't Got You,3XVBdLihbNbxUwZosxcGuJ,0.603,0.609,228707,0.445,6.77e-06,7,0.104,-9.129,1,0.106,118.393,0.166,https://api.spotify.com/v1/tracks/3XVBdLihbNbxUwZosxcGuJ
Poker Face,0le79px2kIBXQDxUe8ZUGP,0.12,0.851,237200,0.806,1.39e-06,4,0.122,-4.618,1,0.0788,119.002,0.775,https://api.spotify.com/v1/tracks/0le79px2kIBXQDxUe8ZUGP
Hips Don't Lie,3ZFTkvIE7kyPt6Nu3PEa7V,0.284,0.778,218093,0.824,0.0,10,0.405,-5.892,0,0.0712,100.024,0.756,https://api.spotify.com/v1/tracks/3ZFTkvIE7kyPt6Nu3PEa7V
Umbrella,49FYlytm3dAAraYgpoJZux,0.00864,0.583,275987,0.829,0.0,1,0.0426,-4.603,1,0.134,174.028,0.575,https://api.spotify.com/v1/tracks/49FYlytm3dAAraYgpoJZux
Party In The U.S.A.,3E7dfMvvCLUddWissuqMwr,0.00112,0.652,202067,0.698,0.000115,10,0.0886,-4.667,0,0.042,96.021,0.47,https://api.spotify.com/v1/tracks/3E7dfMvvCLUddWissuqMwr
Bad Romance,6MjiVEJy1YVuJNFu72OH61,0.00264,0.695,294640,0.919,4.1e-05,0,0.062,-3.769,1,0.0381,119.002,0.717,https://api.spotify.com/v1/tracks/6MjiVEJy1YVuJNFu72OH61
Crazy,1vxw6aYJls2oq3gW0DujAo,0.0505,0.855,177466,0.587,0.00714,8,0.105,-4.589,1,0.0336,111.97,0.64,https://api.spotify.com/v1/tracks/1vxw6aYJls2oq3gW0DujAo
Where Is The Love?,0uqPG793dkDDN7sCUJJIVC,0.101,0.835,272533,0.687,0.0,5,0.132,-3.18,1,0.184,94.059,0.828,https://api.spotify.com/v1/tracks/0uqPG793dkDDN7sCUJJIVC
Hey Ya! - Radio Mix / Club Mix,5WQ1hIc5d2EVbRQ8qsj8Uh,0.0588,0.719,235213,0.967,0.000249,0,0.206,-2.435,1,0.0552,79.505,0.964,https://api.spotify.com/v1/tracks/5WQ1hIc5d2EVbRQ8qsj8Uh
Irreplaceable,6RX5iL93VZ5fKmyvNXvF1r,0.0293,0.447,227853,0.694,5.46e-06,7,0.167,-4.637,0,0.382,175.868,0.509,https://api.spotify.com/v1/tracks/6RX5iL93VZ5fKmyvNXvF1r
White Flag,6si71supnBUhddjR2FJc2L,0.344,0.509,240040,0.537,7.26e-06,5,0.0805,-6.834,1,0.0383,170.037,0.315,https://api.spotify.com/v1/tracks/6si71supnBUhddjR2FJc2L
One,0Y8o2jU3ATJsIuatAhTG5Y,0.0918,0.353,260587,0.873,0.0,0,0.222,-2.991,1,0.0833,186.101,0.306,https://api.spotify.com/v1/tracks/0Y8o2jU3ATJsIuatAhTG5Y
Right To Be Wrong,1atxtvAHagXDZYTuUWAoEC,0.211,0.594,280960,0.608,0.0,2,0.0847,-6.442,1,0.0375,148.143,0.323,https://api.spotify.com/v1/tracks/1atxtvAHagXDZYTuUWAoEC
Don't Know Why,6ybViy2qrO9sIi41EgRJgx,0.883,0.732,186147,0.198,1.1e-05,5,0.0659,-11.775,1,0.028,88.174,0.618,https://api.spotify.com/v1/tracks/6ybViy2qrO9sIi41EgRJgx
When You Say Nothing At All,0gcjc7Vt5xtcfmJgf6g2IO,0.155,0.473,258227,0.452,2.24e-06,7,0.0988,-10.506,1,0.0247,173.916,0.353,https://api.spotify.com/v1/tracks/0gcjc7Vt5xtcfmJgf6g2IO
Underneath Your Clothes,6biR1gMwcN71SDt3Eh4eEu,0.653,0.625,224427,0.592,0.0,8,0.106,-5.279,1,0.0359,165.54,0.398,https://api.spotify.com/v1/tracks/6biR1gMwcN71SDt3Eh4eEu
"Lose Yourself - From ""8 Mile"" Soundtrack",7w9bgPAmPTtrkt2v16QWvQ,0.00971,0.701,326467,0.728,0.00115,2,0.361,-4.554,1,0.255,171.388,0.0591,https://api.spotify.com/v1/tracks/7w9bgPAmPTtrkt2v16QWvQ
Yeah!,2PkeVPcL32LA96cK5ySC3c,0.0219,0.895,250067,0.795,0.0,2,0.0403,-4.693,1,0.0977,105.004,0.574,https://api.spotify.com/v1/tracks/2PkeVPcL32LA96cK5ySC3c
Toxic,4fbaKWFRghusXd4bSBvvfN,0.0249,0.774,198800,0.838,0.025,5,0.242,-3.914,0,0.114,143.04,0.924,https://api.spotify.com/v1/tracks/4fbaKWFRghusXd4bSBvvfN
I'm Yours,03yc0G2OoH1Eeyu7Piy8fK,0.564,0.689,243494,0.432,0.0,11,0.0928,-9.394,1,0.0452,151.079,0.747,https://api.spotify.com/v1/tracks/03yc0G2OoH1Eeyu7Piy8fK
TiK ToK,6zQlRd6tvEVJm59P8PMj7o,0.0608,0.745,199733,0.667,0.0,2,0.283,-6.781,0,0.121,120.046,0.633,https://api.spotify.com/v1/tracks/6zQlRd6tvEVJm59P8PMj7o
Don't Cha,24kGngQeXHt0uhffKpq0zj,0.00542,0.875,272080,0.631,2.54e-06,1,0.127,-3.475,1,0.099,120.002,0.549,https://api.spotify.com/v1/tracks/24kGngQeXHt0uhffKpq0zj
She Will Be Loved,5s5t0OFg9lIlBFaCI14K1i,0.0567,0.524,257133,0.711,0.0,0,0.134,-5.494,0,0.0405,203.867,0.539,https://api.spotify.com/v1/tracks/5s5t0OFg9lIlBFaCI14K1i
Back To Black,30FURVTCpbKyykjSEQzGkH,0.123,0.49,240440,0.725,2.68e-05,10,0.0983,-3.304,1,0.0392,123.28,0.335,https://api.spotify.com/v1/tracks/30FURVTCpbKyykjSEQzGkH
Crazy in Love,3y4KY2HvTEkFLrkHfIPWAl,0.000553,0.646,249107,0.72,7.61e-06,7,0.0556,-7.063,1,0.206,99.259,0.64,https://api.spotify.com/v1/tracks/3y4KY2HvTEkFLrkHfIPWAl
In Da Club,3fsghmcEnT7K9f30ohHDRn,0.262,0.901,193467,0.72,0.0,11,0.0766,-2.826,0,0.36,90.059,0.795,https://api.spotify.com/v1/tracks/3fsghmcEnT7K9f30ohHDRn
Make You Feel My Love,0mqTcM8kuu2IYPotMt7AzS,0.907,0.552,212040,0.173,0.000401,10,0.105,-10.576,1,0.0292,76.97,0.0854,https://api.spotify.com/v1/tracks/0mqTcM8kuu2IYPotMt7AzS
