,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
Slip Inside This House - Stereo LP Version,4GVRHAwABAV0v63YX9Go0p,0.101,0.555,482278,0.694,0.0,9,0.123,-8.453,0,0.0426,127.423,0.602,https://api.spotify.com/v1/tracks/4GVRHAwABAV0v63YX9Go0p
I Had Too Much To Dream (Last Night),5YgCmkSdGukXqK3fJlX4pQ,0.354,0.341,178144,0.714,0.0,2,0.31,-7.998,0,0.0404,147.604,0.412,https://api.spotify.com/v1/tracks/5YgCmkSdGukXqK3fJlX4pQ
96 Tears,5kIGcBxKdSWuEh6hLlOukV,0.0586,0.68,177427,0.507,6.49e-06,7,0.0754,-5.929,1,0.0336,123.47,0.854,https://api.spotify.com/v1/tracks/5kIGcBxKdSWuEh6hLlOukV
Have Love Will Travel,2uXkW8uJcOIhlbUatEPLPs,0.727,0.506,160400,0.948,0.0,10,0.0904,-5.626,1,0.105,130.195,0.934,https://api.spotify.com/v1/tracks/2uXkW8uJcOIhlbUatEPLPs
Kick out the Jams,4l1Yx4GK7GU55Xtwl9we9U,0.0565,0.329,181760,0.806,0.21,1,0.355,-11.925,1,0.0596,142.625,0.619,https://api.spotify.com/v1/tracks/4l1Yx4GK7GU55Xtwl9we9U
I Hate You,3XrPNRdFbGZESTGPte23dD,0.441,0.65,213707,0.798,0.000706,9,0.137,-8.126,0,0.0541,110.646,0.464,https://api.spotify.com/v1/tracks/3XrPNRdFbGZESTGPte23dD
I Wanna Be Your Dog,672N8DGGTOLCOgWe0koX5g,0.0229,0.527,188560,0.871,0.155,4,0.419,-8.708,1,0.0354,120.722,0.107,https://api.spotify.com/v1/tracks/672N8DGGTOLCOgWe0koX5g
I'm Waiting For The Man - Album Version (Stereo),2J9GLqNATExevUPvpLU1Sl,0.025,0.682,279520,0.621,0.852,7,0.153,-9.653,1,0.0451,125.91,0.861,https://api.spotify.com/v1/tracks/2J9GLqNATExevUPvpLU1Sl
Eight Miles High,2BGNomqCxEDcXyxf8bg27k,0.21,0.364,214640,0.768,0.136,9,0.503,-10.492,1,0.0757,130.602,0.37,https://api.spotify.com/v1/tracks/2BGNomqCxEDcXyxf8bg27k
Wipe Out,4SDGb2V6J2rEbxNujwNeMl,0.111,0.46,166092,0.955,0.54,11,0.952,-6.684,1,0.0487,160.073,0.726,https://api.spotify.com/v1/tracks/4SDGb2V6J2rEbxNujwNeMl
