,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
Lost In Japan - Remix,575NJxNUVDqwJGdzBrlLbv,0.0882,0.694,201253,0.852,0.0,7,0.334,-5.34,0,0.257,107.178,0.377,https://api.spotify.com/v1/tracks/575NJxNUVDqwJGdzBrlLbv
Oops!...I Did It Again,6naxalmIoLFWR0siv8dnQQ,0.3,0.751,211160,0.834,1.77e-05,1,0.355,-5.444,0,0.0437,95.053,0.894,https://api.spotify.com/v1/tracks/6naxalmIoLFWR0siv8dnQQ
Yeah!,5rb9QrpfcKFHM1EUbSIurX,0.0183,0.894,250373,0.791,0.0,2,0.0388,-4.699,1,0.112,105.018,0.583,https://api.spotify.com/v1/tracks/5rb9QrpfcKFHM1EUbSIurX
I Like Me Better,2P91MQbaiQOfbiz9VqhqKQ,0.535,0.752,197437,0.505,2.55e-06,9,0.104,-7.621,1,0.253,91.97,0.419,https://api.spotify.com/v1/tracks/2P91MQbaiQOfbiz9VqhqKQ
High Hopes,1rqqCSm0Qe4I9rUvWncaom,0.193,0.579,190947,0.904,0.0,5,0.064,-2.729,1,0.0618,82.014,0.681,https://api.spotify.com/v1/tracks/1rqqCSm0Qe4I9rUvWncaom
Better Now,7dt6x5M1jzdTEt8oCbisTK,0.354,0.68,231267,0.563,0.0,10,0.136,-5.843,1,0.0454,145.028,0.374,https://api.spotify.com/v1/tracks/7dt6x5M1jzdTEt8oCbisTK
Accelerate,5eQ9IwVa9EodrmIItRQpaA,0.371,0.799,243062,0.629,2.01e-06,0,0.15,-5.638,0,0.14,128.041,0.293,https://api.spotify.com/v1/tracks/5eQ9IwVa9EodrmIItRQpaA
Immaterial,02Mkz55cCAHabqlxwSP6X0,0.115,0.776,232807,0.717,0.00755,2,0.327,-4.897,1,0.0836,139.995,0.828,https://api.spotify.com/v1/tracks/02Mkz55cCAHabqlxwSP6X0
Better,4T3fNx3CgwDRRYgmFCbD4J,0.0984,0.442,229413,0.585,0.391,0,0.14,-10.332,0,0.0964,97.565,0.116,https://api.spotify.com/v1/tracks/4T3fNx3CgwDRRYgmFCbD4J
Girls Like You (feat. Cardi B),6FRLCMO5TUHTexlWo8ym1W,0.568,0.851,235545,0.541,0.0,0,0.13,-6.825,1,0.0505,124.959,0.448,https://api.spotify.com/v1/tracks/6FRLCMO5TUHTexlWo8ym1W
I Didn’t Just Come Here To Dance,3dsGuRbNIiQgkSswZIZu1w,0.125,0.813,219893,0.617,0.000107,3,0.213,-7.036,0,0.036,122.041,0.526,https://api.spotify.com/v1/tracks/3dsGuRbNIiQgkSswZIZu1w
Never Forget You,6WLS56xiRrXjSm9RSdL3zD,0.00312,0.583,213428,0.732,9.86e-06,11,0.269,-5.728,0,0.0457,145.992,0.276,https://api.spotify.com/v1/tracks/6WLS56xiRrXjSm9RSdL3zD
1999,05mAIVLkIWc2d1UBYZBCp8,0.0227,0.739,189000,0.742,1.39e-06,7,0.229,-4.586,1,0.0329,124.016,0.659,https://api.spotify.com/v1/tracks/05mAIVLkIWc2d1UBYZBCp8
Body,21RzyxY3EFaxVy6K4RqaU9,0.0476,0.752,163216,0.764,9.44e-05,1,0.0543,-4.399,1,0.038,121.958,0.582,https://api.spotify.com/v1/tracks/21RzyxY3EFaxVy6K4RqaU9
Peace Sign,3DlGY66fukwF71OYNLylxc,0.141,0.796,178040,0.535,0.0,8,0.192,-7.783,1,0.0453,119.936,0.349,https://api.spotify.com/v1/tracks/3DlGY66fukwF71OYNLylxc
NEW ORLEANS,5kkxyqYSQrnHpfsmkjKi81,0.232,0.639,243280,0.815,0.0,11,0.299,-4.962,0,0.252,159.903,0.4,https://api.spotify.com/v1/tracks/5kkxyqYSQrnHpfsmkjKi81
Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR,0.15,0.703,193613,0.868,0.132,7,0.104,-4.661,0,0.0291,121.03,0.733,https://api.spotify.com/v1/tracks/1NDxZ7cFAo481dtYWdrUnR
IDGAF,76cy1WJvNGJTj78UqeA5zr,0.0403,0.836,217947,0.544,0.0,7,0.0824,-5.975,1,0.0943,97.028,0.51,https://api.spotify.com/v1/tracks/76cy1WJvNGJTj78UqeA5zr
Waste It On Me (feat. BTS),2r1T6xGTVaNAqBoPH4lZEE,0.252,0.669,192537,0.684,0.0,7,0.72,-4.595,1,0.0585,96.097,0.466,https://api.spotify.com/v1/tracks/2r1T6xGTVaNAqBoPH4lZEE
Honey,4ieJSEFwhgIVJK97Rw4NkJ,0.017,0.637,294003,0.606,0.00076,11,0.125,-8.699,0,0.0994,115.88,0.0632,https://api.spotify.com/v1/tracks/4ieJSEFwhgIVJK97Rw4NkJ
Walking Trophy,4hGHcdD5IwjAkftalZm5an,0.129,0.691,215112,0.604,0.00494,0,0.108,-6.358,1,0.341,125.55,0.44,https://api.spotify.com/v1/tracks/4hGHcdD5IwjAkftalZm5an
"Crazy, Classic, Life",06EAtSDu3KSoi4fbA3ZjoB,0.0084,0.466,286627,0.706,0.00163,6,0.223,-7.943,0,0.0544,101.009,0.149,https://api.spotify.com/v1/tracks/06EAtSDu3KSoi4fbA3ZjoB
Kiss and Make Up,7jr3iPu4O4bTCVwLMbdU2i,0.0658,0.678,189173,0.729,0.0,8,0.303,-4.188,1,0.137,99.895,0.643,https://api.spotify.com/v1/tracks/7jr3iPu4O4bTCVwLMbdU2i
3 Nights,1tNJrcVe6gwLEiZCtprs1u,0.223,0.815,177667,0.518,0.0,7,0.104,-6.594,0,0.0897,151.891,0.877,https://api.spotify.com/v1/tracks/1tNJrcVe6gwLEiZCtprs1u
