,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
The Sound of Silence,2LkaNhCrNVmcYgXJeLVmsw,0.136,0.435,185440,0.456,1.62e-06,6,0.124,-10.305,1,0.0279,107.529,0.529,https://api.spotify.com/v1/tracks/2LkaNhCrNVmcYgXJeLVmsw
Ain't No Mountain High Enough,2H3ZUSE54pST4ubRd5FzFR,0.482,0.669,151667,0.616,0.0,11,0.179,-10.776,0,0.033,130.037,0.818,https://api.spotify.com/v1/tracks/2H3ZUSE54pST4ubRd5FzFR
(What A) Wonderful World - Remastered,27K3ZDS5B4fwjhwyihrdzC,0.734,0.524,125507,0.543,0.0,11,0.275,-9.889,1,0.0397,128.091,0.877,https://api.spotify.com/v1/tracks/27K3ZDS5B4fwjhwyihrdzC
Stand By Me,3SdTKo2uVsxFblQjpScoHy,0.57,0.65,180056,0.306,7.07e-06,9,0.0707,-9.443,1,0.0393,118.068,0.605,https://api.spotify.com/v1/tracks/3SdTKo2uVsxFblQjpScoHy
California Dreamin' - Single Version,4s6LhHAV5SEsOV0lC2tjvJ,0.352,0.552,162373,0.616,0.0,1,0.0501,-9.785,0,0.0346,112.442,0.667,https://api.spotify.com/v1/tracks/4s6LhHAV5SEsOV0lC2tjvJ
Be My Baby,2G2YzndIA6jeWFPBXhUjh5,0.181,0.511,160907,0.769,0.0,4,0.0921,-7.032,1,0.042,129.657,0.818,https://api.spotify.com/v1/tracks/2G2YzndIA6jeWFPBXhUjh5
"Oh, Pretty Woman",39yWVJ9ENz4FB4v5mZffj4,0.309,0.662,176213,0.689,7.77e-06,9,0.0476,-6.227,1,0.03,126.624,0.947,https://api.spotify.com/v1/tracks/39yWVJ9ENz4FB4v5mZffj4
"Sugar, Sugar",3iSws76HjaU7k49EqJVTfF,0.466,0.736,167187,0.871,0.0,2,0.108,-2.786,1,0.0278,122.395,0.967,https://api.spotify.com/v1/tracks/3iSws76HjaU7k49EqJVTfF
These Boots Are Made For Walkin',2nwCO1PqpvyoFIvq3Vrj8N,0.483,0.74,166008,0.392,1.11e-06,9,0.0965,-11.996,1,0.0824,82.742,0.387,https://api.spotify.com/v1/tracks/2nwCO1PqpvyoFIvq3Vrj8N
Hit the Road Jack,4UGxnxGlpc7BB8Cbu8vITC,0.539,0.731,119840,0.606,0.0,8,0.418,-8.092,0,0.0735,170.831,0.964,https://api.spotify.com/v1/tracks/4UGxnxGlpc7BB8Cbu8vITC
Brown Eyed Girl,3yrSvpt2l1xhsV9Em88Pul,0.182,0.491,183307,0.583,0.0,7,0.407,-10.964,1,0.0376,150.572,0.907,https://api.spotify.com/v1/tracks/3yrSvpt2l1xhsV9Em88Pul
I Heard It Through The Grapevine,27m1soUndRthrAA1ediOXn,0.195,0.729,195267,0.324,0.0,8,0.101,-13.017,0,0.0393,116.855,0.679,https://api.spotify.com/v1/tracks/27m1soUndRthrAA1ediOXn
(Your Love Keeps Lifting Me) Higher & Higher,4TBBPZks71c60whhq0PgdP,0.176,0.631,181067,0.69,0.0,2,0.121,-6.676,1,0.0531,94.574,0.938,https://api.spotify.com/v1/tracks/4TBBPZks71c60whhq0PgdP
(I Can’t Get No) Satisfaction - Mono / Remastered,13AexELGlq5pB7PVkYHUx4,0.0365,0.726,223440,0.881,0.0352,2,0.172,-6.971,1,0.0332,136.327,0.926,https://api.spotify.com/v1/tracks/13AexELGlq5pB7PVkYHUx4
The House Of The Rising Sun,3XC7Jd6SfrQYKZJ6inyRHK,0.000334,0.316,269907,0.484,0.00445,9,0.0912,-9.11,0,0.0308,117.363,0.299,https://api.spotify.com/v1/tracks/3XC7Jd6SfrQYKZJ6inyRHK
My Girl,1WWbqYAzu1N216ngniTLNq,0.545,0.6,178120,0.546,0.0,0,0.559,-5.714,1,0.0691,104.451,0.598,https://api.spotify.com/v1/tracks/1WWbqYAzu1N216ngniTLNq
Build Me Up Buttercup,6sPOmDulFtLzfX25zICNrC,0.313,0.66,177533,0.512,0.0,0,0.283,-7.183,1,0.0294,133.607,0.852,https://api.spotify.com/v1/tracks/6sPOmDulFtLzfX25zICNrC
I'm a Believer,3G7tRC24Uh09Hmp1KZ7LQ2,0.707,0.526,167373,0.775,2.05e-05,0,0.217,-6.05,1,0.0352,80.106,0.962,https://api.spotify.com/v1/tracks/3G7tRC24Uh09Hmp1KZ7LQ2
Suspicious Minds,1H5IfYyIIAlgDX8zguUzns,0.0422,0.487,261280,0.382,4.74e-06,7,0.411,-10.889,1,0.0309,116.557,0.714,https://api.spotify.com/v1/tracks/1H5IfYyIIAlgDX8zguUzns
Come Together - Remastered,0MKqeOVdZcUFGJvWpGCKbG,0.0302,0.533,259947,0.376,0.248,9,0.0926,-11.913,0,0.0393,165.007,0.187,https://api.spotify.com/v1/tracks/0MKqeOVdZcUFGJvWpGCKbG
Down On The Corner,4YMLW13PuuO7o3jkIWlKAs,0.594,0.831,166280,0.544,0.00389,0,0.0736,-9.288,1,0.0837,108.177,0.856,https://api.spotify.com/v1/tracks/4YMLW13PuuO7o3jkIWlKAs
Will You Love Me Tomorrow,7oYTK1C0Clz6MZiETSpFTS,0.351,0.539,162960,0.406,5.1e-06,0,0.161,-6.225,1,0.0261,135.923,0.376,https://api.spotify.com/v1/tracks/7oYTK1C0Clz6MZiETSpFTS
Fortunate Son,3yI282DoIJyERd0vGukMoB,0.208,0.643,140773,0.669,0.00664,0,0.151,-7.485,1,0.0398,132.709,0.609,https://api.spotify.com/v1/tracks/3yI282DoIJyERd0vGukMoB
Mrs. Robinson,4woAWzTOfrG67vduS0JMJo,0.786,0.604,242533,0.461,3.12e-05,6,0.0928,-13.372,0,0.0447,91.909,0.803,https://api.spotify.com/v1/tracks/4woAWzTOfrG67vduS0JMJo
All Along the Watchtower,2aoo2jlRnM3A0NyLQqMN2f,0.00255,0.438,240800,0.805,5.69e-05,8,0.0842,-6.237,1,0.0624,113.253,0.564,https://api.spotify.com/v1/tracks/2aoo2jlRnM3A0NyLQqMN2f
Surfin' U.S.A. - Remastered,0wz1LjDb9ZNEYwOmDJ3Q4b,0.661,0.55,149373,0.854,0.0,3,0.112,-5.968,1,0.036,159.231,0.965,https://api.spotify.com/v1/tracks/0wz1LjDb9ZNEYwOmDJ3Q4b
Wouldn't It Be Nice - Stereo Mix,2Gy7qnDwt8Z3MNxqat4CsK,0.718,0.392,153240,0.629,3.76e-06,5,0.129,-7.056,1,0.0335,124.511,0.72,https://api.spotify.com/v1/tracks/2Gy7qnDwt8Z3MNxqat4CsK
Unchained Melody,1jFhnVoJkcB4lf9tT0rSZS,0.517,0.367,215840,0.215,0.0,0,0.618,-16.652,1,0.0288,98.742,0.266,https://api.spotify.com/v1/tracks/1jFhnVoJkcB4lf9tT0rSZS
Sherry,0NpvdCO506uO58D4AbKzki,0.626,0.703,152160,0.478,0.0,7,0.113,-8.062,1,0.0441,117.562,0.734,https://api.spotify.com/v1/tracks/0NpvdCO506uO58D4AbKzki
Son Of A Preacher Man,1xEV45D5xMSXSHxs7X27Zj,0.169,0.558,145947,0.636,0.0,4,0.0984,-6.992,1,0.0494,90.595,0.721,https://api.spotify.com/v1/tracks/1xEV45D5xMSXSHxs7X27Zj
You Can't Hurry Love,2mTjtdoxpffwa5rXVyZZaS,0.16,0.46,161613,0.708,0.0,10,0.185,-9.835,1,0.0977,194.95,0.542,https://api.spotify.com/v1/tracks/2mTjtdoxpffwa5rXVyZZaS
"Hold On, I'm Comin'",1On1rSfuufFglctZu7AG92,0.0114,0.764,149080,0.544,0.00952,6,0.164,-8.899,1,0.0333,106.86,0.866,https://api.spotify.com/v1/tracks/1On1rSfuufFglctZu7AG92
Time Of The Season (Mono Version),5AJrhrwz4oSZX2PwwV4qrN,0.142,0.537,214027,0.7,1.58e-06,4,0.383,-6.852,0,0.0366,117.111,0.695,https://api.spotify.com/v1/tracks/5AJrhrwz4oSZX2PwwV4qrN
I Say a Little Prayer,3NfxSdJnVdon1axzloJgba,0.48,0.59,216773,0.355,0.0,9,0.0585,-14.051,1,0.0352,133.03,0.499,https://api.spotify.com/v1/tracks/3NfxSdJnVdon1axzloJgba
