,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
Superstition - Single Version,300RfAPZ57B0y6YYj9n6DN,0.0172,0.642,244827,0.735,0.000733,8,0.0391,-8.866,1,0.0806,99.682,0.864,https://api.spotify.com/v1/tracks/300RfAPZ57B0y6YYj9n6DN
"""Heroes"" - Single Version; 2014 Remastered Version",2KVBpW6RR1rGIpr4jDRotF,0.016,0.502,213813,0.681,0.107,7,0.102,-8.263,1,0.0276,112.16,0.584,https://api.spotify.com/v1/tracks/2KVBpW6RR1rGIpr4jDRotF
Bohemian Rhapsody - Remastered 2011,1AhDOtG9vPSOmsWgNW0BEY,0.271,0.414,354320,0.404,0.0,0,0.3,-9.928,0,0.0499,71.105,0.224,https://api.spotify.com/v1/tracks/1AhDOtG9vPSOmsWgNW0BEY
Have You Ever Seen The Rain?,5XE8c07vbpQBUriwybOHtd,0.0876,0.776,160000,0.516,1.82e-05,0,0.182,-9.981,1,0.0295,115.989,0.806,https://api.spotify.com/v1/tracks/5XE8c07vbpQBUriwybOHtd
Is This Love,5QTEEImISE4USGEwqAci8O,0.108,0.775,230733,0.559,0.0,6,0.0945,-8.377,0,0.088,122.229,0.804,https://api.spotify.com/v1/tracks/5QTEEImISE4USGEwqAci8O
Don't Go Breaking My Heart,5nPdMALTEd7HOjn16oNf2X,0.149,0.729,275440,0.844,2.87e-06,5,0.0604,-8.824,1,0.0344,131.459,0.777,https://api.spotify.com/v1/tracks/5nPdMALTEd7HOjn16oNf2X
Hold the Line,4aVuWgvD0X63hcOCnZtNFA,0.0397,0.494,235800,0.698,0.00634,6,0.152,-12.049,0,0.0553,95.842,0.778,https://api.spotify.com/v1/tracks/4aVuWgvD0X63hcOCnZtNFA
September,5nNmj1cLH3r4aA4XDJ2bgY,0.114,0.697,214827,0.809,0.000521,9,0.183,-8.197,1,0.0302,125.941,0.98,https://api.spotify.com/v1/tracks/5nNmj1cLH3r4aA4XDJ2bgY
Hotel California - Remastered,40riOy7x9W7GXjyGp4pjAv,0.00574,0.579,391376,0.508,0.000494,2,0.0575,-9.484,1,0.027,147.125,0.609,https://api.spotify.com/v1/tracks/40riOy7x9W7GXjyGp4pjAv
The Chain - 2004 Remaster For Digital; 2004 Remaster,5e9TFTbltYBg2xThimr0rU,0.009,0.545,270213,0.67,0.000822,9,0.0451,-8.81,1,0.0496,151.553,0.481,https://api.spotify.com/v1/tracks/5e9TFTbltYBg2xThimr0rU
Ain't No Sunshine,1k1Bqnv2R0uJXQN4u6LKYt,0.457,0.479,125093,0.416,1.72e-05,4,0.118,-11.451,0,0.124,79.593,0.514,https://api.spotify.com/v1/tracks/1k1Bqnv2R0uJXQN4u6LKYt
I Can See Clearly Now,0oCT5rVvMdPPUm0bxG7yzT,0.41,0.683,162653,0.53,7.43e-05,2,0.06,-8.542,1,0.0601,124.392,0.579,https://api.spotify.com/v1/tracks/0oCT5rVvMdPPUm0bxG7yzT
50 Ways to Leave Your Lover,6Qb7gtV6Q4MnUjSbkFcopl,0.166,0.815,217347,0.372,0.000116,7,0.0767,-12.814,1,0.0752,101.684,0.293,https://api.spotify.com/v1/tracks/6Qb7gtV6Q4MnUjSbkFcopl
Morning Has Broken,3BqqF8suAIzW8655yJfcvh,0.614,0.443,200000,0.324,0.00568,7,0.0919,-13.135,1,0.0312,133.102,0.386,https://api.spotify.com/v1/tracks/3BqqF8suAIzW8655yJfcvh
Long Train Runnin',4nXkbcTj3nyww1cHkw5RAP,0.0916,0.575,207267,0.912,0.00211,7,0.0562,-7.275,0,0.0393,117.399,0.843,https://api.spotify.com/v1/tracks/4nXkbcTj3nyww1cHkw5RAP
Papa Was A Rollin' Stone - Single Version,1zC9mSQAH2fn3DGscYRuCY,0.459,0.82,417040,0.427,0.0494,10,0.0447,-12.728,0,0.0827,121.481,0.887,https://api.spotify.com/v1/tracks/1zC9mSQAH2fn3DGscYRuCY
Bridge Over Troubled Water,6l8EbYRtQMgKOyc1gcDHF9,0.822,0.149,293120,0.206,0.000649,3,0.115,-13.888,1,0.0323,79.764,0.264,https://api.spotify.com/v1/tracks/6l8EbYRtQMgKOyc1gcDHF9
If You Leave Me Now - Remastered,0KMGxYKeUzK9wc5DZCt3HT,0.0193,0.429,235373,0.564,0.000828,11,0.128,-6.784,1,0.0268,104.212,0.276,https://api.spotify.com/v1/tracks/0KMGxYKeUzK9wc5DZCt3HT
Sultans Of Swing,3LTMnFa0hhwisyq6ILahyj,0.0771,0.731,348624,0.797,0.0248,5,0.334,-9.992,1,0.0309,148.192,0.933,https://api.spotify.com/v1/tracks/3LTMnFa0hhwisyq6ILahyj
Rocket Man (I Think It's Going To Be A Long Long Time),02BDRKIiRLkXrlNPLlpH6K,0.431,0.6,282013,0.507,4.98e-06,10,0.0924,-9.98,1,0.0289,136.611,0.333,https://api.spotify.com/v1/tracks/02BDRKIiRLkXrlNPLlpH6K
Don't Stop Me Now - Remastered,5T8EDUDqKcs6OSOwEsfqG7,0.0475,0.559,209413,0.868,0.000176,5,0.776,-5.276,1,0.17,156.295,0.609,https://api.spotify.com/v1/tracks/5T8EDUDqKcs6OSOwEsfqG7
Daddy Cool,0Wif6GC74X6oWrGrPoru4K,0.27,0.764,207893,0.775,0.767,5,0.156,-6.907,0,0.0368,124.424,0.936,https://api.spotify.com/v1/tracks/0Wif6GC74X6oWrGrPoru4K
It's a Heartache,2EPGj2kxw2dEToxOkyiXL9,0.033,0.539,210573,0.648,1.16e-06,0,0.29,-7.336,1,0.0299,118.89,0.493,https://api.spotify.com/v1/tracks/2EPGj2kxw2dEToxOkyiXL9
Rich Girl - Remastered,5E3P9e1hvjyIOlFyqNB5eD,0.5,0.597,144333,0.643,0.0,5,0.0435,-6.303,1,0.134,167.963,0.823,https://api.spotify.com/v1/tracks/5E3P9e1hvjyIOlFyqNB5eD
Sweet Home Alabama,6RgGppm2SSX5p246UqfdEi,0.0915,0.609,284413,0.661,0.000482,7,0.254,-9.549,1,0.0252,97.93,0.892,https://api.spotify.com/v1/tracks/6RgGppm2SSX5p246UqfdEi
Go Your Own Way,0FeCO85RKW8fDRytwXof2x,0.0219,0.597,218400,0.812,0.00106,5,0.102,-12.062,1,0.0315,135.68,0.823,https://api.spotify.com/v1/tracks/0FeCO85RKW8fDRytwXof2x
Roxanne - Remastered 2003,3FmAUR4SPWa3P1KyDf21Fu,0.0384,0.618,191500,0.748,4.1e-06,0,0.0477,-8.905,1,0.361,134.001,0.662,https://api.spotify.com/v1/tracks/3FmAUR4SPWa3P1KyDf21Fu
The Logical Song - Remastered 2010,3T6R0ppqCnUW6iJhtUYhO3,0.512,0.625,251253,0.758,0.00022,5,0.153,-6.213,0,0.0463,119.719,0.695,https://api.spotify.com/v1/tracks/3T6R0ppqCnUW6iJhtUYhO3
Spirit In The Sky,0Y2SrByf4G3kbq2nBEHQRn,0.112,0.601,239600,0.643,0.00209,2,0.088,-5.828,1,0.0314,128.262,0.552,https://api.spotify.com/v1/tracks/0Y2SrByf4G3kbq2nBEHQRn
We Are The Champions - Remastered 2011,1lCRw5FEZ1gPDNPzy1K4zW,0.378,0.268,179200,0.459,0.0,10,0.118,-6.94,1,0.0346,64.177,0.175,https://api.spotify.com/v1/tracks/1lCRw5FEZ1gPDNPzy1K4zW
"Another Brick In The Wall, Pt. 2 - 2011 Remastered Version",3fuXKiEzDCs1IBnLHQ5CL0,0.0781,0.694,238747,0.394,0.000677,0,0.247,-15.881,1,0.0428,104.126,0.719,https://api.spotify.com/v1/tracks/3fuXKiEzDCs1IBnLHQ5CL0
Dreams,703BT1NQsfIwPFv8MXQ47m,0.139,0.823,254453,0.338,0.00129,0,0.5,-15.899,1,0.0413,120.473,0.785,https://api.spotify.com/v1/tracks/703BT1NQsfIwPFv8MXQ47m
Mrs. Robinson,0iOZM63lendWRTTeKhZBSC,0.713,0.606,244027,0.457,2.53e-05,6,0.0747,-14.035,0,0.0497,92.033,0.813,https://api.spotify.com/v1/tracks/0iOZM63lendWRTTeKhZBSC
