,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
She Will Be Loved,5s5t0OFg9lIlBFaCI14K1i,0.0567,0.524,257133,0.711,0.0,0,0.134,-5.494,0,0.0405,203.867,0.539,https://api.spotify.com/v1/tracks/5s5t0OFg9lIlBFaCI14K1i
All Star,3cfOd4CMv2snFaKAnMdnvK,0.0319,0.731,200373,0.861,0.0,11,0.0829,-5.881,1,0.0323,104.034,0.78,https://api.spotify.com/v1/tracks/3cfOd4CMv2snFaKAnMdnvK
This Love,5zF2zGPkL6Ipsn9AfAK6RP,0.0551,0.714,206200,0.868,0.0,5,0.0987,-4.596,0,0.0363,95.05,0.78,https://api.spotify.com/v1/tracks/5zF2zGPkL6Ipsn9AfAK6RP
Jump - 2015 Remastered Version,7N3PAbqfTjSEU1edb2tY8j,0.171,0.572,241600,0.835,0.000376,0,0.0702,-6.219,1,0.0317,129.994,0.796,https://api.spotify.com/v1/tracks/7N3PAbqfTjSEU1edb2tY8j
Holiday,3ibAzRj9JnowdoLkyllk3n,0.0251,0.813,231560,0.699,0.0135,7,0.0527,-8.656,1,0.0458,117.548,0.732,https://api.spotify.com/v1/tracks/3ibAzRj9JnowdoLkyllk3n
Joyride,3Skwc4sh1QHUGcWrFBFWSF,0.0862,0.651,241733,0.74,0.0,2,0.142,-6.244,1,0.0272,102.233,0.615,https://api.spotify.com/v1/tracks/3Skwc4sh1QHUGcWrFBFWSF
Don't Stop 'Til You Get Enough - Single Version,46eu3SBuFCXWsPT39Yg3tJ,0.126,0.878,365467,0.821,0.0461,11,0.183,-9.875,1,0.089,118.881,0.947,https://api.spotify.com/v1/tracks/46eu3SBuFCXWsPT39Yg3tJ
Material Girl,22sLuJYcvZOSoLLRYev1s5,0.333,0.742,240280,0.883,7.51e-06,0,0.0964,-3.419,1,0.0329,136.506,0.978,https://api.spotify.com/v1/tracks/22sLuJYcvZOSoLLRYev1s5
Shape of You,0FE9t6xYkqWXU2ahLh6D8X,0.581,0.825,233713,0.652,0.0,1,0.0931,-3.183,0,0.0802,95.977,0.931,https://api.spotify.com/v1/tracks/0FE9t6xYkqWXU2ahLh6D8X
I'm Gonna Be (500 Miles),66S14BkJDxgkYxLl5DCqOz,0.151,0.851,219467,0.551,0.0,4,0.0827,-5.177,1,0.0396,131.922,0.807,https://api.spotify.com/v1/tracks/66S14BkJDxgkYxLl5DCqOz
You Can't Hurry Love,4YUlGNZfYA6EUE5KDsGqpC,0.0674,0.639,175347,0.923,0.0,7,0.0879,-5.708,1,0.032,97.874,0.761,https://api.spotify.com/v1/tracks/4YUlGNZfYA6EUE5KDsGqpC
FourFiveSeconds,5XzmZjXhMjDHr7ZfJ6DELQ,0.868,0.579,188238,0.268,0.0,2,0.12,-5.65,1,0.0442,205.903,0.321,https://api.spotify.com/v1/tracks/5XzmZjXhMjDHr7ZfJ6DELQ
Everybody Wants To Rule The World,40dJCw4xU6Bd5ie9rfagNo,0.363,0.637,251480,0.811,0.00451,7,0.107,-11.345,1,0.0583,112.053,0.552,https://api.spotify.com/v1/tracks/40dJCw4xU6Bd5ie9rfagNo
Marry You,6SKwQghsR8AISlxhcwyA9R,0.332,0.62,230120,0.832,0.0,10,0.104,-4.848,1,0.036,144.926,0.481,https://api.spotify.com/v1/tracks/6SKwQghsR8AISlxhcwyA9R
I've Been Thinking About You,5ojjL1ypuOtqqOpb4QiM1M,0.0171,0.644,233200,0.887,0.000602,11,0.0706,-6.449,0,0.0372,113.535,0.886,https://api.spotify.com/v1/tracks/5ojjL1ypuOtqqOpb4QiM1M
Come Together - Remastered 2009,2EqlS6tkEnglzr7tkKAAYD,0.0302,0.533,259947,0.376,0.248,9,0.0926,-11.913,0,0.0393,165.007,0.187,https://api.spotify.com/v1/tracks/2EqlS6tkEnglzr7tkKAAYD
Should I Stay or Should I Go - Remastered,39shmbIHICJ2Wxnk1fPSdz,0.079,0.742,188987,0.833,0.0,2,0.384,-6.463,1,0.115,113.375,0.816,https://api.spotify.com/v1/tracks/39shmbIHICJ2Wxnk1fPSdz
Hey Ya! - Radio Mix / Club Mix,5WQ1hIc5d2EVbRQ8qsj8Uh,0.0588,0.719,235213,0.967,0.000249,0,0.206,-2.435,1,0.0552,79.505,0.964,https://api.spotify.com/v1/tracks/5WQ1hIc5d2EVbRQ8qsj8Uh
Come On Eileen,3xKsPtA5XG91Zlh0SyycmM,0.197,0.41,205933,0.874,0.0,0,0.0843,-4.286,1,0.0907,107.08,0.824,https://api.spotify.com/v1/tracks/3xKsPtA5XG91Zlh0SyycmM
It's Not Unusual,3TlIt0ReIxPsVZcOEivT5U,0.579,0.518,119800,0.717,0.0,0,0.198,-10.014,1,0.06,92.492,0.921,https://api.spotify.com/v1/tracks/3TlIt0ReIxPsVZcOEivT5U
Crazy in Love,3y4KY2HvTEkFLrkHfIPWAl,0.000553,0.646,249107,0.72,7.61e-06,7,0.0556,-7.063,1,0.206,99.259,0.64,https://api.spotify.com/v1/tracks/3y4KY2HvTEkFLrkHfIPWAl
"Hey, Soul Sister",0KpfYajJVVGgQ32Dby7e9i,0.217,0.675,216667,0.885,0.0,1,0.086,-4.432,0,0.0436,97.03,0.768,https://api.spotify.com/v1/tracks/0KpfYajJVVGgQ32Dby7e9i
Mr. Brightside,0eGsygTp906u18L0Oimnem,0.00113,0.351,222076,0.928,0.0,1,0.0988,-3.71,1,0.0759,148.03,0.239,https://api.spotify.com/v1/tracks/0eGsygTp906u18L0Oimnem
You Can Call Me Al,0qxYx4F3vm1AOnfux6dDxP,0.182,0.776,280000,0.763,0.0065,5,0.077,-8.124,1,0.0535,128.433,0.82,https://api.spotify.com/v1/tracks/0qxYx4F3vm1AOnfux6dDxP
Hips Don't Lie,3ZFTkvIE7kyPt6Nu3PEa7V,0.284,0.778,218093,0.824,0.0,10,0.405,-5.892,0,0.0712,100.024,0.756,https://api.spotify.com/v1/tracks/3ZFTkvIE7kyPt6Nu3PEa7V
I'm Yours,1EzrEOXmMH3G43AXT1y7pA,0.595,0.686,242187,0.457,0.0,11,0.105,-8.322,1,0.0468,150.953,0.718,https://api.spotify.com/v1/tracks/1EzrEOXmMH3G43AXT1y7pA
I Kissed A Girl,4ROTEqZbUtCkXdSJXh3ctr,0.00223,0.699,179640,0.76,0.0,5,0.132,-3.173,1,0.0677,129.996,0.696,https://api.spotify.com/v1/tracks/4ROTEqZbUtCkXdSJXh3ctr
We Didn't Start the Fire,3Cx4yrFaX8CeHwBMReOWXI,0.0771,0.712,287733,0.967,0.0,7,0.356,-5.206,1,0.047,145.024,0.895,https://api.spotify.com/v1/tracks/3Cx4yrFaX8CeHwBMReOWXI
Rolling in the Deep,5xPazRvyrkVootu8pM9vUG,0.138,0.73,228093,0.77,0.0,8,0.0473,-5.114,1,0.0298,104.948,0.507,https://api.spotify.com/v1/tracks/5xPazRvyrkVootu8pM9vUG
Ex's & Oh's,70eDxAyAraNTiD6lx2ZEnH,0.0183,0.612,202173,0.921,0.0,7,0.0576,-2.879,1,0.0848,139.986,0.453,https://api.spotify.com/v1/tracks/70eDxAyAraNTiD6lx2ZEnH
Jump (For My Love),3L9ClO1W5KmebIXTrlKShF,0.161,0.842,267227,0.697,0.000101,10,0.583,-13.796,0,0.0654,134.533,0.916,https://api.spotify.com/v1/tracks/3L9ClO1W5KmebIXTrlKShF
Forget You,3MeL7vAsVbgSrGFd0HioaJ,0.134,0.696,222733,0.875,0.0,0,0.159,-3.682,1,0.0649,127.39,0.772,https://api.spotify.com/v1/tracks/3MeL7vAsVbgSrGFd0HioaJ
Wake Me Up - Radio Edit,6g1NlCpW7fgqDnWbCCDrHl,0.0038,0.532,247427,0.783,0.0012,2,0.161,-5.697,1,0.0523,124.08,0.643,https://api.spotify.com/v1/tracks/6g1NlCpW7fgqDnWbCCDrHl
Wannabe,1Je1IMUlBXcx1Fz0WE7oPT,0.101,0.768,173027,0.864,0.0,11,0.162,-6.145,1,0.0324,110.008,0.891,https://api.spotify.com/v1/tracks/1Je1IMUlBXcx1Fz0WE7oPT
You Sexy Thing,714hERk9U1W8FMYkoC83CO,0.522,0.791,244920,0.734,0.00165,5,0.167,-5.464,1,0.0629,105.854,0.962,https://api.spotify.com/v1/tracks/714hERk9U1W8FMYkoC83CO
The Lazy Song,386RUes7n1uM1yfzgeUuwp,0.332,0.738,190213,0.804,0.0,11,0.279,-3.851,1,0.0621,174.943,0.949,https://api.spotify.com/v1/tracks/386RUes7n1uM1yfzgeUuwp
Viva La Vida,1mea3bSkSGXuIRvnydlB5b,0.0941,0.485,242373,0.619,3.31e-06,5,0.109,-7.115,0,0.0289,138.017,0.416,https://api.spotify.com/v1/tracks/1mea3bSkSGXuIRvnydlB5b
Shake It Off,3fthfkkvy9av3q3uAGVf7U,0.0647,0.647,219200,0.8,0.0,7,0.334,-5.384,1,0.165,160.078,0.942,https://api.spotify.com/v1/tracks/3fthfkkvy9av3q3uAGVf7U
