,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
Black Hole Sun,2EoOZnxNgtmZaD8uUmz2nD,0.000203,0.354,318587,0.825,6.95e-05,6,0.0758,-5.325,1,0.0406,105.495,0.16,https://api.spotify.com/v1/tracks/2EoOZnxNgtmZaD8uUmz2nD
No Rain,6txWz9UapYHVxEd7dDIHXT,0.619,0.389,217107,0.476,5.09e-05,9,0.255,-9.342,1,0.0316,148.117,0.566,https://api.spotify.com/v1/tracks/6txWz9UapYHVxEd7dDIHXT
Alive,4Qbjmdlv1eZDD1u8SWe1pt,0.00541,0.298,341160,0.825,1.46e-05,2,0.44,-8.053,1,0.0408,75.592,0.54,https://api.spotify.com/v1/tracks/4Qbjmdlv1eZDD1u8SWe1pt
Semi-Charmed Life,42et6fnHCw1HIPSrdPprMl,0.00832,0.64,268360,0.864,0.0,7,0.123,-6.576,1,0.0315,102.026,0.7,https://api.spotify.com/v1/tracks/42et6fnHCw1HIPSrdPprMl
Hallelujah,74X1epeRufHckhuX1KFD04,0.921,0.339,413320,0.143,0.000636,0,0.372,-10.78,1,0.0317,101.213,0.0948,https://api.spotify.com/v1/tracks/74X1epeRufHckhuX1KFD04
Alright,5xC8uOesnn0udeXAYlAnoY,0.000479,0.467,180880,0.958,0.199,4,0.299,-4.808,0,0.0775,145.92,0.701,https://api.spotify.com/v1/tracks/5xC8uOesnn0udeXAYlAnoY
Say It Ain't So,4YPhn26bIFm2KUkL1VLzQG,0.00328,0.635,256880,0.435,6.78e-06,3,0.071,-7.521,1,0.031,76.098,0.459,https://api.spotify.com/v1/tracks/4YPhn26bIFm2KUkL1VLzQG
Sabotage,0Puj4YlTm6xNzDDADXHMI9,0.032,0.324,178440,0.938,0.0321,6,0.0961,-7.332,0,0.102,168.131,0.543,https://api.spotify.com/v1/tracks/0Puj4YlTm6xNzDDADXHMI9
Bullet With Butterfly Wings,1EzeXGaZdqsA4Nst1AIAL2,5.01e-05,0.389,257707,0.705,0.86,10,0.09,-10.331,0,0.0553,122.154,0.555,https://api.spotify.com/v1/tracks/1EzeXGaZdqsA4Nst1AIAL2
Interstate Love Song,1AfYo6cKm3yHsJHdmNoGO1,0.000552,0.214,193613,0.947,0.00352,4,0.238,-5.053,1,0.0507,170.616,0.483,https://api.spotify.com/v1/tracks/1AfYo6cKm3yHsJHdmNoGO1
Every You Every Me,3tRv4ZYZimrL27flnjgeR6,2.7e-05,0.478,213800,0.923,0.719,10,0.325,-7.547,1,0.0569,133.134,0.165,https://api.spotify.com/v1/tracks/3tRv4ZYZimrL27flnjgeR6
Lump,2JdzB67NvIa90K4gEZPLeX,0.00468,0.499,134200,0.873,0.0,6,0.165,-3.902,1,0.0386,142.726,0.864,https://api.spotify.com/v1/tracks/2JdzB67NvIa90K4gEZPLeX
Glycerine - Remastered,2nzlgHTbUDzuRtTFoX3qfJ,0.0325,0.427,266493,0.337,0.00215,5,0.0872,-11.38,1,0.0324,114.075,0.0849,https://api.spotify.com/v1/tracks/2nzlgHTbUDzuRtTFoX3qfJ
Epic,4ReyTz0y3TGkX48wO3Llot,0.0222,0.358,293653,0.893,0.0524,4,0.126,-7.486,0,0.12,174.238,0.262,https://api.spotify.com/v1/tracks/4ReyTz0y3TGkX48wO3Llot
Celebrity Skin,2VTQAjZr7FPoEJD2sNoH3o,1.35e-05,0.443,162493,0.896,0.000101,9,0.369,-6.163,1,0.0457,134.145,0.733,https://api.spotify.com/v1/tracks/2VTQAjZr7FPoEJD2sNoH3o
Closer,39tLc4Xp58Lu4KcWHggeE2,0.000365,0.559,373307,0.725,0.553,10,0.112,-8.631,0,0.0426,90.012,0.501,https://api.spotify.com/v1/tracks/39tLc4Xp58Lu4KcWHggeE2
The Distance,0fsz7tJ7UKXT9hliLfO7aE,0.0095,0.456,179600,0.752,0.00145,11,0.0573,-8.121,0,0.09,183.569,0.897,https://api.spotify.com/v1/tracks/0fsz7tJ7UKXT9hliLfO7aE
Stupid Girl,0h4fRpHrxBeR3XWHmcolaU,0.00336,0.588,258133,0.804,0.00172,11,0.0358,-4.006,1,0.0333,120.015,0.736,https://api.spotify.com/v1/tracks/0h4fRpHrxBeR3XWHmcolaU
Hedonism - Just Because You Feel Good,4fBkJ3DTCPKWUBBAtMdimK,0.0874,0.563,207360,0.536,0.000105,10,0.164,-9.488,1,0.0286,81.094,0.312,https://api.spotify.com/v1/tracks/4fBkJ3DTCPKWUBBAtMdimK
Would?,5sFDReWLrZHLFZFjHsjUTS,0.000332,0.305,206773,0.832,2.4e-05,6,0.091,-7.981,1,0.0398,100.677,0.585,https://api.spotify.com/v1/tracks/5sFDReWLrZHLFZFjHsjUTS
Hunger Strike - 25th Anniversary Mix,3CtphwpjC0XjIVpLFvGiQR,0.0249,0.384,246267,0.733,2.61e-05,7,0.114,-6.522,1,0.0318,137.834,0.314,https://api.spotify.com/v1/tracks/3CtphwpjC0XjIVpLFvGiQR
Tomorrow - Remastered,24tO365YW6lcZr1hN4Ukzj,0.000658,0.292,266280,0.714,0.000109,2,0.102,-4.919,1,0.0316,151.412,0.462,https://api.spotify.com/v1/tracks/24tO365YW6lcZr1hN4Ukzj
Cannonball,2hjGuRIEfEGzQ5MEWLowiU,0.00915,0.502,213693,0.758,0.783,3,0.284,-9.76,1,0.0407,112.508,0.729,https://api.spotify.com/v1/tracks/2hjGuRIEfEGzQ5MEWLowiU
Popular,48sJGpBLqQTs0sZ2ImHJof,0.00751,0.444,220587,0.884,8.94e-05,7,0.116,-6.104,1,0.119,94.82,0.296,https://api.spotify.com/v1/tracks/48sJGpBLqQTs0sZ2ImHJof
