,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
Welcome To The Jungle,5NIPsWpDjJTFBoPxCUUeXp,0.0326,0.445,273600,0.955,0.284,8,0.317,-8.027,1,0.0856,123.343,0.336,https://api.spotify.com/v1/tracks/5NIPsWpDjJTFBoPxCUUeXp
You Shook Me All Night Long,2SiXAy7TuUkycRVbbWDEpo,0.00287,0.532,210173,0.767,0.000513,7,0.39,-5.509,1,0.0574,127.361,0.755,https://api.spotify.com/v1/tracks/2SiXAy7TuUkycRVbbWDEpo
Pour Some Sugar On Me - Remastered 2017,0PdM2a6oIjqepoEfcJo0RO,0.00211,0.267,267307,0.953,0.0,1,0.283,-4.899,0,0.096,84.989,0.568,https://api.spotify.com/v1/tracks/0PdM2a6oIjqepoEfcJo0RO
Jump - 2015 Remastered Version,7N3PAbqfTjSEU1edb2tY8j,0.171,0.572,241600,0.835,0.000376,0,0.0702,-6.219,1,0.0317,129.994,0.796,https://api.spotify.com/v1/tracks/7N3PAbqfTjSEU1edb2tY8j
Another One Bites The Dust - Remastered 2011,57JVGBtBLCfHw2muk5416J,0.115,0.951,214653,0.53,0.179,5,0.17,-6.594,0,0.178,109.979,0.699,https://api.spotify.com/v1/tracks/57JVGBtBLCfHw2muk5416J
Livin' On A Prayer,7qQnBfwXrw2tZNFG4Uf57N,0.0665,0.52,250627,0.887,0.000179,0,0.186,-3.296,1,0.0349,122.528,0.793,https://api.spotify.com/v1/tracks/7qQnBfwXrw2tZNFG4Uf57N
Should I Stay or Should I Go - Remastered,39shmbIHICJ2Wxnk1fPSdz,0.079,0.742,188987,0.833,0.0,2,0.384,-6.463,1,0.115,113.375,0.816,https://api.spotify.com/v1/tracks/39shmbIHICJ2Wxnk1fPSdz
Dancing With Myself,1BY1Vd2Bt6JPOhMvsIwtVv,0.0157,0.51,359733,0.696,0.000104,4,0.297,-10.83,1,0.0802,176.567,0.905,https://api.spotify.com/v1/tracks/1BY1Vd2Bt6JPOhMvsIwtVv
Every Breath You Take - Remastered 2003,2sXp9Qmvc7mRaDBjBgcGGi,0.56,0.813,253887,0.46,0.0105,1,0.0724,-9.78,1,0.0346,117.387,0.729,https://api.spotify.com/v1/tracks/2sXp9Qmvc7mRaDBjBgcGGi
Let's Dance - 1999 Remastered Version,0F0MA0ns8oXwGw66B2BSXm,0.00388,0.619,457133,0.703,0.205,10,0.163,-9.414,0,0.0525,115.043,0.709,https://api.spotify.com/v1/tracks/0F0MA0ns8oXwGw66B2BSXm
Free Fallin',5tVA6TkbaAH9QMITTQRrNv,0.219,0.63,256000,0.449,0.0,5,0.0622,-13.243,1,0.0252,84.378,0.623,https://api.spotify.com/v1/tracks/5tVA6TkbaAH9QMITTQRrNv
With Or Without You - Remastered,4ha9ajL4Kz98uldAfuos6p,0.000207,0.543,295516,0.432,0.369,2,0.146,-11.832,1,0.0288,110.196,0.107,https://api.spotify.com/v1/tracks/4ha9ajL4Kz98uldAfuos6p
Need You Tonight,5eU8qMd0TpaLqTGDZJaLDs,0.0713,0.801,180518,0.723,0.154,10,0.0675,-4.985,0,0.0689,109.03,0.883,https://api.spotify.com/v1/tracks/5eU8qMd0TpaLqTGDZJaLDs
Any Way You Want It,2DyHhPyCZgZzNXn1IrtsTu,0.000312,0.519,201867,0.934,0.00457,7,0.137,-7.137,1,0.0471,138.162,0.586,https://api.spotify.com/v1/tracks/2DyHhPyCZgZzNXn1IrtsTu
I Was Made For Lovin' You,2ZSCy3P1QzpJySCWA6NRIU,0.213,0.768,271240,0.852,7.45e-05,4,0.0723,-6.215,1,0.038,128.374,0.867,https://api.spotify.com/v1/tracks/2ZSCy3P1QzpJySCWA6NRIU
Dude (Looks Like A Lady),6gQUbFwwdYXlKdmqRoWKJe,0.417,0.537,265773,0.978,1.56e-05,4,0.0374,-2.921,0,0.0442,126.343,0.931,https://api.spotify.com/v1/tracks/6gQUbFwwdYXlKdmqRoWKJe
When Doves Cry,51H2y6YrNNXcy3dfc3qSbA,0.0102,0.729,352906,0.989,4.45e-05,9,0.443,-4.613,0,0.049,126.47,0.84,https://api.spotify.com/v1/tracks/51H2y6YrNNXcy3dfc3qSbA
