,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
Real Hip-Hop,7Kutf53V4k0CvU4nKu5oK6,0.0217,0.858,247613,0.76,0.0,4,0.322,-7.895,0,0.254,93.082,0.951,https://api.spotify.com/v1/tracks/7Kutf53V4k0CvU4nKu5oK6
Livin' Proof,6ETW8Q1Xd68dp4Ck1ieE7e,0.0107,0.846,254933,0.77,0.000123,9,0.0558,-7.489,1,0.283,92.057,0.773,https://api.spotify.com/v1/tracks/6ETW8Q1Xd68dp4Ck1ieE7e
Slam,38fJv1GvxHkHlgbERUuBCJ,0.0577,0.878,218507,0.711,0.00635,4,0.922,-12.924,1,0.335,98.332,0.718,https://api.spotify.com/v1/tracks/38fJv1GvxHkHlgbERUuBCJ
They Reminisce Over You,2Mb3zpobD0CvJGWv6NpsPy,0.141,0.761,286693,0.683,0.0,2,0.342,-10.889,1,0.164,101.787,0.671,https://api.spotify.com/v1/tracks/2Mb3zpobD0CvJGWv6NpsPy
Grown Man Sport,6dRj771QZr0KOQVwaB6ykM,0.478,0.801,276373,0.757,1.32e-05,7,0.163,-8.01,1,0.316,88.025,0.607,https://api.spotify.com/v1/tracks/6dRj771QZr0KOQVwaB6ykM
Keep Your Worries,2iYM4CGkoTfsLw9MI5K1AC,0.42,0.734,298267,0.544,0.0,11,0.0975,-4.786,0,0.194,86.617,0.669,https://api.spotify.com/v1/tracks/2iYM4CGkoTfsLw9MI5K1AC
You Never Knew,3Dh10QBwBWVQAMJNNhLRq4,0.385,0.73,273573,0.837,0.0,6,0.321,-5.359,0,0.281,92.127,0.867,https://api.spotify.com/v1/tracks/3Dh10QBwBWVQAMJNNhLRq4
Nappy Heads - Remix,0hKr166QnNZ0a37G4UO0VY,0.137,0.774,322067,0.456,6.88e-05,1,0.109,-16.027,1,0.326,97.109,0.642,https://api.spotify.com/v1/tracks/0hKr166QnNZ0a37G4UO0VY
Don't Sweat The Technique,3YXlTtlYDXI2SyofNm1ccg,0.00669,0.712,261600,0.908,0.0373,4,0.0938,-6.898,1,0.146,105.893,0.777,https://api.spotify.com/v1/tracks/3YXlTtlYDXI2SyofNm1ccg
Wreckonize - Remix Vocal,22Yq5tkMN8JE7h1Bq3pWHS,0.296,0.775,233200,0.451,6.31e-06,1,0.123,-9.164,1,0.0567,92.986,0.559,https://api.spotify.com/v1/tracks/22Yq5tkMN8JE7h1Bq3pWHS
Duck Ya Head,2qx0FYGob348g1BdwEyMJA,0.0303,0.845,289160,0.819,0.0,10,0.115,-4.35,0,0.385,94.984,0.747,https://api.spotify.com/v1/tracks/2qx0FYGob348g1BdwEyMJA
U.N.I.T.Y.,3mmbJnh1L94Zl8QZcUTq39,0.00473,0.672,251907,0.758,1.2e-06,4,0.326,-4.18,0,0.359,94.312,0.493,https://api.spotify.com/v1/tracks/3mmbJnh1L94Zl8QZcUTq39
Hey Lover,64gaTolmXymtP6AA5urDWd,0.37,0.693,284693,0.423,0.0,5,0.106,-12.212,0,0.074,88.091,0.528,https://api.spotify.com/v1/tracks/64gaTolmXymtP6AA5urDWd
The Rain (Supa Dupa Fly),2WRzpLD8qDRrxMXc63E5WJ,0.117,0.854,246173,0.58,0.00471,1,0.0921,-10.008,1,0.217,162.116,0.7,https://api.spotify.com/v1/tracks/2WRzpLD8qDRrxMXc63E5WJ
Hell on Earth (Front Lines),1RjU7UhRICmdFPKxCucLgq,0.275,0.875,274093,0.658,0.0,0,0.122,-3.641,1,0.359,92.039,0.661,https://api.spotify.com/v1/tracks/1RjU7UhRICmdFPKxCucLgq
Quiet Storm,6nwAubYnLGl7F7cDuOoVLp,0.366,0.79,265493,0.728,0.0,2,0.112,-9.221,1,0.391,96.978,0.403,https://api.spotify.com/v1/tracks/6nwAubYnLGl7F7cDuOoVLp
Sugar Hill,0lZWjBImx6kNe3WtOA09Xu,0.000693,0.683,249760,0.648,6.29e-06,8,0.0693,-7.332,1,0.188,181.874,0.532,https://api.spotify.com/v1/tracks/0lZWjBImx6kNe3WtOA09Xu
T.O.N.Y. (Top Of New York),70usN5I0KNmTvMdEwDDWpL,0.0793,0.691,268587,0.733,0.0,8,0.116,-6.038,0,0.47,169.938,0.533,https://api.spotify.com/v1/tracks/70usN5I0KNmTvMdEwDDWpL
Twinz (Deep Cover 98),0B8drtTSp68pZdkmVrG9ZA,0.32,0.633,228173,0.764,3.4e-06,0,0.234,-7.212,1,0.323,94.971,0.522,https://api.spotify.com/v1/tracks/0B8drtTSp68pZdkmVrG9ZA
Guess Who's Back,5czjjnbTatyFal33a9h1aN,0.018,0.819,250907,0.799,0.0,6,0.104,-7.769,0,0.264,94.013,0.664,https://api.spotify.com/v1/tracks/5czjjnbTatyFal33a9h1aN
