,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
Chase The Devil,2kPQbvKYxJV2z5q2wNps7n,0.0807,0.838,207667,0.34,0.0,2,0.105,-14.334,1,0.565,149.079,0.836,https://api.spotify.com/v1/tracks/2kPQbvKYxJV2z5q2wNps7n
Three Little Birds,26JRni5Lqiyd9GNnlaz6DI,0.0109,0.781,180533,0.478,1.01e-06,9,0.0399,-10.54,1,0.0855,73.962,0.643,https://api.spotify.com/v1/tracks/26JRni5Lqiyd9GNnlaz6DI
Sweat (A La La La La Long),7kTvXtMERxvwCGcWv68ssH,0.0166,0.787,226547,0.79,0.0,0,0.18,-6.649,1,0.21,173.032,0.948,https://api.spotify.com/v1/tracks/7kTvXtMERxvwCGcWv68ssH
Murderer,0j3k5lalAmEHaXJeytoMB6,0.0845,0.865,233300,0.549,0.158,0,0.081,-10.083,1,0.244,142.8,0.617,https://api.spotify.com/v1/tracks/0j3k5lalAmEHaXJeytoMB6
Wa Do Dem,34PfcrPaW1ysCtYD4CdBPB,0.354,0.848,233347,0.634,0.0,0,0.17,-7.112,1,0.0568,77.508,0.795,https://api.spotify.com/v1/tracks/34PfcrPaW1ysCtYD4CdBPB
Israelites,0di7hMT6o1ogeUN1XDB9Ft,0.232,0.78,155747,0.568,0.000403,10,0.052,-9.14,0,0.0466,74.159,0.974,https://api.spotify.com/v1/tracks/0di7hMT6o1ogeUN1XDB9Ft
It Mek,1tKAI8igKXPqovihv4Px57,0.0239,0.626,152361,0.508,0.828,8,0.115,-10.303,1,0.0781,75.618,0.691,https://api.spotify.com/v1/tracks/1tKAI8igKXPqovihv4Px57
Under Me Sleng Teng,3l9oTzHXnAJcg4x2jU6DvX,0.175,0.832,250600,0.537,0.0,2,0.0948,-7.34,1,0.0631,81.513,0.901,https://api.spotify.com/v1/tracks/3l9oTzHXnAJcg4x2jU6DvX
Monkey Man,3QMinjF1B7KCqYaSoaagSR,0.195,0.892,224533,0.621,0.000157,5,0.102,-4.912,1,0.0483,126.652,0.826,https://api.spotify.com/v1/tracks/3QMinjF1B7KCqYaSoaagSR
007 (Shanty Town),4jUgVrUXUs4rSTAPJZUpEO,0.0669,0.86,153600,0.575,0.159,9,0.179,-6.747,1,0.0893,101.715,0.846,https://api.spotify.com/v1/tracks/4jUgVrUXUs4rSTAPJZUpEO
Everything I Own,11K8zrOH0TmBwAUUA0uKiu,0.0931,0.652,223947,0.474,0.0,5,0.152,-9.271,1,0.0468,75.74,0.737,https://api.spotify.com/v1/tracks/11K8zrOH0TmBwAUUA0uKiu
The Tide Is High - Stereo Version,7056gVvC7P3PpltHgippd2,0.241,0.451,161973,0.433,0.0,7,0.472,-9.189,1,0.0291,96.287,0.832,https://api.spotify.com/v1/tracks/7056gVvC7P3PpltHgippd2
