,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
Love On The Brain,5oO3drDxtziYU2H1X23ZIp,0.0777,0.503,224000,0.632,1.3e-05,4,0.0758,-4.854,0,0.0492,171.92,0.369,https://api.spotify.com/v1/tracks/5oO3drDxtziYU2H1X23ZIp
Love The Way You Lie,6UaRii9AH6Zss9xNMEQ2M9,0.246,0.746,263373,0.922,0.0,10,0.515,-5.014,1,0.236,86.961,0.638,https://api.spotify.com/v1/tracks/6UaRii9AH6Zss9xNMEQ2M9
Just The Way You Are,47Slg6LuqLaX0VodpSCvPt,0.0151,0.637,220733,0.843,0.0,5,0.0876,-5.413,1,0.0432,109.012,0.434,https://api.spotify.com/v1/tracks/47Slg6LuqLaX0VodpSCvPt
Rather Be (feat. Jess Glynne),0TVV2gFROJaB3kIZyCUvIY,0.162,0.799,227833,0.586,2.03e-06,11,0.193,-6.735,1,0.0377,120.97,0.549,https://api.spotify.com/v1/tracks/0TVV2gFROJaB3kIZyCUvIY
Titanium (feat. Sia),0TDLuuLlV54CkRRUOahJb4,0.0682,0.602,245053,0.796,0.12,0,0.15,-3.657,0,0.103,126.06,0.265,https://api.spotify.com/v1/tracks/0TDLuuLlV54CkRRUOahJb4
Let Me Love You,4pdPtRcBmOSQDlJ3Fk945m,0.0784,0.476,205947,0.718,1.02e-05,8,0.122,-5.309,1,0.0576,199.864,0.142,https://api.spotify.com/v1/tracks/4pdPtRcBmOSQDlJ3Fk945m
Wake Me Up - Radio Edit,6g1NlCpW7fgqDnWbCCDrHl,0.0038,0.532,247427,0.783,0.0012,2,0.161,-5.697,1,0.0523,124.08,0.643,https://api.spotify.com/v1/tracks/6g1NlCpW7fgqDnWbCCDrHl
Rolling In The Deep,7h8Ud480Fm4ReUVxgFF9ZX,0.13,0.729,228293,0.777,0.0,8,0.0541,-5.112,1,0.0293,104.946,0.527,https://api.spotify.com/v1/tracks/7h8Ud480Fm4ReUVxgFF9ZX
Uptown Funk,57n3qOwXcoRMyGFjeqC1Rh,0.00801,0.856,269667,0.609,8.15e-05,0,0.0344,-7.223,1,0.0824,114.988,0.928,https://api.spotify.com/v1/tracks/57n3qOwXcoRMyGFjeqC1Rh
Safe and Sound,1fzJyTCKeZuTSLByCsLRHl,0.000176,0.655,192790,0.819,0.00374,0,0.104,-4.852,1,0.0316,117.956,0.766,https://api.spotify.com/v1/tracks/1fzJyTCKeZuTSLByCsLRHl
I Knew You Were Trouble,21K6jcmZPktm7MftqfLfLg,0.00572,0.602,219720,0.465,5.34e-06,6,0.033,-6.762,1,0.0367,154.076,0.664,https://api.spotify.com/v1/tracks/21K6jcmZPktm7MftqfLfLg
Moves Like Jagger - Studio Recording From The Voice Performance,7pYfyrMNPn3wtoCyqcTVoI,0.0117,0.722,201493,0.761,0.0,11,0.315,-4.459,0,0.0475,128.044,0.624,https://api.spotify.com/v1/tracks/7pYfyrMNPn3wtoCyqcTVoI
Stereo Love - Radio Edit,1AguHaKOuggrVTebp7cZEI,0.0346,0.799,184573,0.783,0.0186,1,0.0757,-3.896,0,0.0322,127.041,0.586,https://api.spotify.com/v1/tracks/1AguHaKOuggrVTebp7cZEI
Somebody That I Used To Know,1qDrWA6lyx8cLECdZE7TV7,0.542,0.862,244885,0.515,0.000113,0,0.0987,-6.927,1,0.0359,129.055,0.751,https://api.spotify.com/v1/tracks/1qDrWA6lyx8cLECdZE7TV7
Say You Won't Let Go,1Pw5C4N6Fn5E4mGCxmbbVa,0.693,0.4,211240,0.564,0.0,10,0.0863,-7.444,1,0.0523,99.269,0.483,https://api.spotify.com/v1/tracks/1Pw5C4N6Fn5E4mGCxmbbVa
Glad You Came,6M8mODDhC5Ehq9X45PsVFm,0.0373,0.672,197147,0.826,0.0,7,0.106,-4.859,0,0.0828,126.874,0.538,https://api.spotify.com/v1/tracks/6M8mODDhC5Ehq9X45PsVFm
I'm Not The Only One,5WLtenwEwifJHYTUw514RH,0.489,0.679,239317,0.495,5.65e-06,5,0.0845,-5.842,1,0.036,81.996,0.49,https://api.spotify.com/v1/tracks/5WLtenwEwifJHYTUw514RH
