,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
Bohemian Rhapsody - Remastered 2011,2GAIycsMaDVtMtdvxzR2xI,0.288,0.392,354320,0.402,0.0,0,0.243,-9.961,0,0.0536,143.883,0.228,https://api.spotify.com/v1/tracks/2GAIycsMaDVtMtdvxzR2xI
Stairway To Heaven,5CQ30WqJwcep0pYcV4AMNc,0.58,0.338,482830,0.34,0.0032,9,0.116,-12.049,0,0.0339,82.433,0.197,https://api.spotify.com/v1/tracks/5CQ30WqJwcep0pYcV4AMNc
Hotel California - Remastered,40riOy7x9W7GXjyGp4pjAv,0.00574,0.579,391376,0.508,0.000494,2,0.0575,-9.484,1,0.027,147.125,0.609,https://api.spotify.com/v1/tracks/40riOy7x9W7GXjyGp4pjAv
London Calling - Remastered,5jzma6gCzYtKB1DbEwFZKH,0.123,0.651,200480,0.801,0.0,0,0.0825,-7.34,1,0.0513,133.763,0.776,https://api.spotify.com/v1/tracks/5jzma6gCzYtKB1DbEwFZKH
Riders On The Storm,14XWXWv5FoCbFzLksawpEe,0.25,0.549,434720,0.722,0.0138,11,0.11,-11.729,0,0.0283,103.885,0.716,https://api.spotify.com/v1/tracks/14XWXWv5FoCbFzLksawpEe
Rock And Roll All Nite,6KTv0Z8BmVqM7DPxbGzpVC,0.0551,0.657,168827,0.932,0.0,1,0.047,-5.819,1,0.0992,144.751,0.888,https://api.spotify.com/v1/tracks/6KTv0Z8BmVqM7DPxbGzpVC
Who Are You,02DurCgOvDdX0uKEjqcl3W,0.299,0.653,381627,0.631,0.00265,9,0.0627,-11.334,1,0.0461,156.32,0.516,https://api.spotify.com/v1/tracks/02DurCgOvDdX0uKEjqcl3W
Changes - 2015 Remastered Version,0LrwgdLsFaWh9VXIjBRe8t,0.505,0.547,217747,0.308,0.0,0,0.109,-11.75,1,0.0377,114.719,0.41,https://api.spotify.com/v1/tracks/0LrwgdLsFaWh9VXIjBRe8t
Who'll Stop The Rain,3Bh6uInhcVBVvLraGZdkKD,0.0424,0.598,147493,0.797,0.000407,7,0.0717,-6.793,1,0.0332,123.566,0.622,https://api.spotify.com/v1/tracks/3Bh6uInhcVBVvLraGZdkKD
Me and Bobby McGee,1IqFh00G2kvvMm8pRMpehA,0.302,0.453,271333,0.464,5.96e-05,2,0.152,-10.96,1,0.0431,93.19,0.658,https://api.spotify.com/v1/tracks/1IqFh00G2kvvMm8pRMpehA
