,track,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,valence
804,Move Ya Body,0.0234,0.8759999999999999,232000,0.71,2ndnVdR8si7CW9T8vJRHyW,0.000161,11,0.0573,-6.446000000000001,0,0.0446,121.072,4,https://api.spotify.com/v1/tracks/2ndnVdR8si7CW9T8vJRHyW,0.828
805,Confessions Part II - Confessions Special Edition Version,0.0586,0.845,211200,0.467,7wBThXx7BGZHJJ3aN3OPvv,0.0,1,0.0694,-7.6739999999999995,1,0.138,138.007,4,https://api.spotify.com/v1/tracks/7wBThXx7BGZHJJ3aN3OPvv,0.7020000000000001
806,Freek-A-Leek,0.0744,0.7559999999999999,235186,0.691,4MeDnO5yA2Zi6IMlVApRci,0.0,2,0.364,-3.718,1,0.17800000000000002,104.999,4,https://api.spotify.com/v1/tracks/4MeDnO5yA2Zi6IMlVApRci,0.632
807,Naughty Girl,0.237,0.588,208573,0.461,0YGQ3hZcRLC5YX7o0hdmHg,1.5399999999999998e-05,6,0.0913,-8.686,0,0.161,200.053,4,https://api.spotify.com/v1/tracks/0YGQ3hZcRLC5YX7o0hdmHg,0.659
808,Here Without You,0.0537,0.536,238560,0.55,3NLrRZoMF0Lx6zTlYqeIo4,0.0,10,0.134,-6.733,0,0.0248,144.018,4,https://api.spotify.com/v1/tracks/3NLrRZoMF0Lx6zTlYqeIo4,0.23399999999999999
809,My Immortal,0.862,0.18600000000000003,262533,0.29,4UzVcXufOhGUwF56HT7b8M,0.0,9,0.13,-9.008,1,0.0333,68.992,4,https://api.spotify.com/v1/tracks/4UzVcXufOhGUwF56HT7b8M,0.0776
810,Overnight Celebrity,0.182,0.828,233360,0.792,2tOZtdbkAMQASWokLvSlzj,0.0,10,0.281,-5.435,0,0.179,134.19899999999998,4,https://api.spotify.com/v1/tracks/2tOZtdbkAMQASWokLvSlzj,0.777
811,Tipsy - Radio Mix,0.0484,0.925,243026,0.748,2lVDc57IMK6nypg2iuEWVR,0.0,11,0.10099999999999999,-5.572,0,0.278,92.978,4,https://api.spotify.com/v1/tracks/2lVDc57IMK6nypg2iuEWVR,0.615
812,Red Roses (feat. Landon Cube),0.547,0.691,262544,0.6829999999999999,3ZhTT6yjZwpPph5MIJ53XY,0.0,0,0.221,-7.335,1,0.0954,140.002,4,https://api.spotify.com/v1/tracks/3ZhTT6yjZwpPph5MIJ53XY,0.456
813,Dirt Off Your Shoulder / Lying From You,0.0104,0.557,244693,0.905,7dvd3b2oz7AFgXrPBIIYxR,0.0,11,0.111,-4.506,1,0.267,160.013,4,https://api.spotify.com/v1/tracks/7dvd3b2oz7AFgXrPBIIYxR,0.799
814,100 Years,0.544,0.643,244600,0.569,0B5KeB25moPkcQUnbDvj3t,2.17e-05,7,0.17800000000000002,-7.459,1,0.0276,120.507,4,https://api.spotify.com/v1/tracks/0B5KeB25moPkcQUnbDvj3t,0.275
815,The Way You Move (feat. Sleepy Brown) - Club Mix,0.126,0.871,234000,0.597,5z7mYFfhw6N6f23VwrokJD,0.00011499999999999999,5,0.0638,-4.9319999999999995,0,0.0464,125.999,4,https://api.spotify.com/v1/tracks/5z7mYFfhw6N6f23VwrokJD,0.635
816,Are You Gonna Be My Girl,0.00148,0.613,213800,0.953,305WCRhhS10XUcH6AEwZk6,0.000582,2,0.152,-3.435,1,0.0855,105.046,4,https://api.spotify.com/v1/tracks/305WCRhhS10XUcH6AEwZk6,0.537
817,Hey Ya! - Radio Mix / Club Mix,0.10300000000000001,0.728,235213,0.9740000000000001,2PpruBYCo4H7WOBJ7Q2EwM,0.000532,4,0.175,-2.261,0,0.0665,79.52600000000001,4,https://api.spotify.com/v1/tracks/2PpruBYCo4H7WOBJ7Q2EwM,0.965
818,Splash Waterfalls,0.11900000000000001,0.711,290760,0.843,2T8hXV9LUZMDBKR5RALGEa,0.0,5,0.225,-6.12,0,0.39299999999999996,145.989,4,https://api.spotify.com/v1/tracks/2T8hXV9LUZMDBKR5RALGEa,0.6829999999999999
819,First Day Of My Life,0.915,0.46799999999999997,188800,0.201,5OiaAaIMYlCZONyDBxqk4G,8.28e-05,4,0.0952,-17.024,1,0.0388,94.42200000000001,4,https://api.spotify.com/v1/tracks/5OiaAaIMYlCZONyDBxqk4G,0.38299999999999995
820,Salt Shaker,0.0509,0.884,252440,0.6970000000000001,4Kd0FzFpOgIGxlBl4HXuFn,0.0,11,0.094,-6.022,1,0.128,101.965,4,https://api.spotify.com/v1/tracks/4Kd0FzFpOgIGxlBl4HXuFn,0.322
821,Slow Jamz,0.369,0.569,316053,0.7440000000000001,32UioUCnMFsr2UN7SvDyXj,0.0,2,0.256,-5.757000000000001,0,0.18100000000000002,145.063,4,https://api.spotify.com/v1/tracks/32UioUCnMFsr2UN7SvDyXj,0.59
