,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
Melt (Acoustic Version),6W83GER4shtT9lpkYzEYeq,0.897,0.522,221492,0.241,4.98e-06,5,0.11,-8.966,0,0.0343,133.644,0.345,https://api.spotify.com/v1/tracks/6W83GER4shtT9lpkYzEYeq
My Arms Were Always Around You,53iFMaNUXn6Oj8hUIKSO5a,0.724,0.643,200800,0.436,0.459,1,0.11,-12.245,1,0.0273,91.485,0.422,https://api.spotify.com/v1/tracks/53iFMaNUXn6Oj8hUIKSO5a
Lay It On Me - Acoustic,0ikmhbH2wPx0iFayhraSWp,0.768,0.483,201561,0.49,1.2e-06,5,0.112,-4.736,1,0.0318,137.606,0.43,https://api.spotify.com/v1/tracks/0ikmhbH2wPx0iFayhraSWp
Little Boy,19LehejAStoSf4Hj3Tim1M,0.401,0.659,233448,0.608,6.7e-06,11,0.117,-8.566,1,0.0325,113.952,0.393,https://api.spotify.com/v1/tracks/19LehejAStoSf4Hj3Tim1M
Never in My Wildest Dreams,3MJov5mT64K42o1Rffhblq,0.315,0.559,176027,0.466,0.0039,5,0.0933,-6.769,1,0.0362,117.21,0.623,https://api.spotify.com/v1/tracks/3MJov5mT64K42o1Rffhblq
New Rules - Acoustic,4X283dKwcjIqJiOCV1dMBJ,0.601,0.826,213436,0.345,0.0,9,0.121,-6.018,0,0.0372,116.072,0.508,https://api.spotify.com/v1/tracks/4X283dKwcjIqJiOCV1dMBJ
hate u love u,6ATgDc6e4sPn84hvJsAmPt,0.71,0.401,175467,0.398,0.0,6,0.0962,-8.993,0,0.183,180.293,0.265,https://api.spotify.com/v1/tracks/6ATgDc6e4sPn84hvJsAmPt
Dream - Acoustic,67l1tytshju3Ily8uIAVKH,0.75,0.7,198693,0.281,0.0,9,0.102,-6.576,0,0.0356,74.998,0.385,https://api.spotify.com/v1/tracks/67l1tytshju3Ily8uIAVKH
Only Love,2uhEKg8kIzpdvz4gyy6x8W,0.3,0.545,249173,0.485,0.00137,8,0.119,-9.941,1,0.151,80.401,0.341,https://api.spotify.com/v1/tracks/2uhEKg8kIzpdvz4gyy6x8W
"Take Me To Church - Live From Spotify, London",61IautUH8F8UWJ0kxF9pJc,0.841,0.624,246500,0.214,0.0,2,0.701,-9.471,0,0.0457,125.149,0.3,https://api.spotify.com/v1/tracks/61IautUH8F8UWJ0kxF9pJc
For Now,0c99BUd87HQfzgUUQqRyds,0.926,0.397,198404,0.249,0.0,5,0.115,-10.484,1,0.0394,79.614,0.329,https://api.spotify.com/v1/tracks/0c99BUd87HQfzgUUQqRyds
Cherry Wine - Live,0bZ52QzCCKfrfOqs7za6lI,0.951,0.415,240147,0.11,0.00236,1,0.0962,-14.901,1,0.0388,81.876,0.234,https://api.spotify.com/v1/tracks/0bZ52QzCCKfrfOqs7za6lI
Honest,0WIzzUh0vzPHk58d3e8sXJ,0.662,0.41,168480,0.44,0.0014,10,0.0663,-8.616,1,0.0307,98.097,0.304,https://api.spotify.com/v1/tracks/0WIzzUh0vzPHk58d3e8sXJ
Honey,2sksCUIpcWYO5imUxTonvd,0.785,0.612,213061,0.365,0.000967,3,0.111,-9.973,1,0.0281,97.929,0.171,https://api.spotify.com/v1/tracks/2sksCUIpcWYO5imUxTonvd
The Woods - Acoustic,6uaIMhUZXMuT2Zz0vxrFiR,0.722,0.571,239960,0.558,0.000331,9,0.116,-8.553,1,0.0281,104.991,0.283,https://api.spotify.com/v1/tracks/6uaIMhUZXMuT2Zz0vxrFiR
Waves - Acoustic,6GL1MiIvlrAm3hTvHzQJLl,0.947,0.483,248176,0.199,0.0,2,0.109,-11.37,1,0.0586,78.103,0.16,https://api.spotify.com/v1/tracks/6GL1MiIvlrAm3hTvHzQJLl
Tee Shirt,3C5in0EVdoGepp5bA6lhlE,0.837,0.684,159507,0.341,2.69e-05,9,0.0883,-9.497,1,0.0272,75.948,0.557,https://api.spotify.com/v1/tracks/3C5in0EVdoGepp5bA6lhlE
Hell Or High Water,54Sfi5x76ITYShTrjBnJkW,0.00182,0.338,220468,0.721,2.03e-05,4,0.349,-5.735,0,0.0587,80.774,0.381,https://api.spotify.com/v1/tracks/54Sfi5x76ITYShTrjBnJkW
Paper Thin - Live From Studio,55PULldftedylAcvuJoEPb,0.896,0.455,196073,0.113,0.0,1,0.0978,-12.887,1,0.0466,176.131,0.373,https://api.spotify.com/v1/tracks/55PULldftedylAcvuJoEPb
Moving Mountains,27bWSKIcEj1JyhHi6emu4j,0.904,0.592,253400,0.206,6.09e-05,0,0.121,-12.026,0,0.0274,93.934,0.198,https://api.spotify.com/v1/tracks/27bWSKIcEj1JyhHi6emu4j
Another Way,0BfPVt9Rgngm70OTpy1TPE,0.0579,0.587,251324,0.608,0.022,5,0.131,-11.588,1,0.0308,94.479,0.565,https://api.spotify.com/v1/tracks/0BfPVt9Rgngm70OTpy1TPE
Concrete Jungle - Acoustic,4yxL6eoSsZ04lN0VezKgcr,0.761,0.589,160345,0.467,0.0,6,0.0847,-8.179,1,0.031,165.908,0.571,https://api.spotify.com/v1/tracks/4yxL6eoSsZ04lN0VezKgcr
Where's My Love,3XRDrBtoCJAMDQJgSzJ9WT,0.853,0.598,202107,0.343,0.0219,0,0.123,-11.04,0,0.025,103.984,0.419,https://api.spotify.com/v1/tracks/3XRDrBtoCJAMDQJgSzJ9WT
Adore - Piano Unplugged,5FkvhzOAw3WzWNNc1Tr9nJ,0.739,0.571,197574,0.313,0.0,0,0.113,-9.833,1,0.0657,64.531,0.163,https://api.spotify.com/v1/tracks/5FkvhzOAw3WzWNNc1Tr9nJ
Hollow (Acoustic),1GIBQJItFW5tFPrilr6M6o,0.822,0.499,236618,0.229,4.59e-06,11,0.0914,-9.642,1,0.0361,178.461,0.239,https://api.spotify.com/v1/tracks/1GIBQJItFW5tFPrilr6M6o
Jungle,4QEaE0Yj9oCvCzehPlZ1On,0.269,0.59,315599,0.697,9.86e-05,1,0.0881,-5.877,0,0.0291,146.059,0.497,https://api.spotify.com/v1/tracks/4QEaE0Yj9oCvCzehPlZ1On
Elastic Heart - Live from The Village,0wHRZwbNWH2TcSBIhyMT1i,0.887,0.409,266720,0.375,0.0,9,0.125,-6.195,1,0.0336,128.912,0.209,https://api.spotify.com/v1/tracks/0wHRZwbNWH2TcSBIhyMT1i
Most Girls - Acoustic,6MH1oRsRfQc2ZCco3ic7Mx,0.482,0.665,200880,0.274,0.0,9,0.118,-8.915,1,0.147,103.013,0.686,https://api.spotify.com/v1/tracks/6MH1oRsRfQc2ZCco3ic7Mx
Sleep On The Floor,6KprCGVC5o2Ibj2wCtaxEV,0.298,0.391,211851,0.442,0.0,0,0.13,-8.076,1,0.0347,142.56,0.246,https://api.spotify.com/v1/tracks/6KprCGVC5o2Ibj2wCtaxEV
little light - acoustic version,6PRotAx0lUWP0bHBr6jm42,0.685,0.67,256415,0.294,0.0,7,0.147,-8.114,1,0.0341,119.856,0.515,https://api.spotify.com/v1/tracks/6PRotAx0lUWP0bHBr6jm42
I Will Spend My Whole Life Loving You,77enz5hl8RicxrbPB56VXQ,0.887,0.637,227619,0.129,0.0,11,0.0719,-17.082,1,0.0346,125.802,0.298,https://api.spotify.com/v1/tracks/77enz5hl8RicxrbPB56VXQ
Best Days - Acoustic,38sCPCcv3QjWl0NslC5KtW,0.919,0.655,179064,0.127,0.0,5,0.105,-11.036,1,0.0467,150.407,0.436,https://api.spotify.com/v1/tracks/38sCPCcv3QjWl0NslC5KtW
Love on the Weekend,0j2WBxWZnWti5TpSxjJvPb,0.547,0.729,212627,0.546,0.00287,7,0.0651,-9.305,1,0.0285,119.941,0.406,https://api.spotify.com/v1/tracks/0j2WBxWZnWti5TpSxjJvPb
Acoustic,5kh7BbzXPgooAU9MB9L7yw,0.785,0.88,172199,0.245,3.19e-05,9,0.0979,-10.245,1,0.446,76.006,0.638,https://api.spotify.com/v1/tracks/5kh7BbzXPgooAU9MB9L7yw
Catie Rae,4Vbz3VLZ4cbSK4zYuHCjBk,0.709,0.344,132453,0.46,0.0,10,0.117,-9.399,1,0.0319,84.469,0.528,https://api.spotify.com/v1/tracks/4Vbz3VLZ4cbSK4zYuHCjBk
Issues - Acoustic,4TqiKcUUvK7y6x6JG5NpJX,0.741,0.684,175280,0.342,0.0,8,0.0729,-6.09,1,0.055,114.076,0.632,https://api.spotify.com/v1/tracks/4TqiKcUUvK7y6x6JG5NpJX
Shape of You - Acoustic,5ULRlgiSPSKTaJN1vU9yso,0.49,0.843,223573,0.4,0.0,8,0.125,-5.576,0,0.103,100.728,0.927,https://api.spotify.com/v1/tracks/5ULRlgiSPSKTaJN1vU9yso
All I Want,2PwXOevGUSkU8qaYZjgLq2,0.172,0.209,305747,0.412,0.15,0,0.0843,-9.733,1,0.0443,86.26,0.162,https://api.spotify.com/v1/tracks/2PwXOevGUSkU8qaYZjgLq2
Boston,2mxzc5jMl7oxIXz9Einq54,0.191,0.556,273667,0.448,0.00116,4,0.383,-10.921,1,0.0387,116.292,0.125,https://api.spotify.com/v1/tracks/2mxzc5jMl7oxIXz9Einq54
"Girl Crush - Recorded at Metropolis Studios, London",4YutJsNwBBInE8vemufpQ8,0.658,0.468,243805,0.197,0.0,4,0.109,-11.727,1,0.033,144.212,0.249,https://api.spotify.com/v1/tracks/4YutJsNwBBInE8vemufpQ8
Save My Life - Radio Edit,2s5QYW4Ls3GsxWKhEKGraJ,0.778,0.583,217973,0.235,0.0,6,0.187,-10.121,1,0.0287,137.829,0.368,https://api.spotify.com/v1/tracks/2s5QYW4Ls3GsxWKhEKGraJ
No Place In Mind,6BYb8RVAVC8bAOx6H74CtK,0.722,0.335,284038,0.443,3.78e-05,4,0.0921,-9.565,1,0.0382,169.135,0.184,https://api.spotify.com/v1/tracks/6BYb8RVAVC8bAOx6H74CtK
Tell Me - Acoustic,0an8pwAsISvMA9ZIbAmeW7,0.72,0.632,200864,0.293,5.63e-06,0,0.326,-12.507,0,0.0284,103.869,0.586,https://api.spotify.com/v1/tracks/0an8pwAsISvMA9ZIbAmeW7
Let It Go - James Bay Spotify Session 2015,4tYokojnBEp5pBWO7wTRPA,0.879,0.5,285867,0.213,7.37e-06,1,0.721,-9.095,1,0.0462,140.053,0.37,https://api.spotify.com/v1/tracks/4tYokojnBEp5pBWO7wTRPA
Cringe - Stripped,6TpowNTagUJ7f8ctFFCVN8,0.896,0.539,219151,0.263,0.0,5,0.104,-11.149,1,0.0552,119.671,0.222,https://api.spotify.com/v1/tracks/6TpowNTagUJ7f8ctFFCVN8
Can't See Straight - Acoustic,68xnGmup4wL7Ie4vhy5SOs,0.712,0.811,188058,0.38,0.0,9,0.309,-6.235,1,0.0406,98.04,0.647,https://api.spotify.com/v1/tracks/68xnGmup4wL7Ie4vhy5SOs
