,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
I Want It That Way,6e40mgJiCid5HRAGrbpGA6,0.216,0.689,213600,0.702,0.0,6,0.159,-5.642,0,0.0261,99.031,0.484,https://api.spotify.com/v1/tracks/6e40mgJiCid5HRAGrbpGA6
Bye Bye Bye,4r8lRYnoOGdEi6YyI5OC1o,0.0408,0.614,200560,0.928,0.00104,8,0.0845,-4.806,0,0.0516,172.656,0.879,https://api.spotify.com/v1/tracks/4r8lRYnoOGdEi6YyI5OC1o
Wannabe,1Je1IMUlBXcx1Fz0WE7oPT,0.101,0.768,173027,0.864,0.0,11,0.162,-6.145,1,0.0324,110.008,0.891,https://api.spotify.com/v1/tracks/1Je1IMUlBXcx1Fz0WE7oPT
I'll Be Missing You (feat. 112),3QHONiXGMGU3z68mQInncF,0.0522,0.862,301520,0.479,0.00126,7,0.589,-9.199,1,0.0646,109.878,0.925,https://api.spotify.com/v1/tracks/3QHONiXGMGU3z68mQInncF
Everybody (Backstreet's Back) - Radio Edit,1di1BEgJYzPvXUuinsYJGP,0.0352,0.731,225360,0.853,0.0,10,0.268,-4.219,0,0.0363,108.016,0.605,https://api.spotify.com/v1/tracks/1di1BEgJYzPvXUuinsYJGP
All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,0.164,0.335,241107,0.625,0.0,7,0.0708,-7.462,1,0.0386,150.277,0.346,https://api.spotify.com/v1/tracks/0bYg9bo50gSsH3LtXe2SQn
Wonderwall,2CT3r93YuSHtm57mjxvjhH,0.000807,0.409,258613,0.892,0.0,2,0.207,-4.373,1,0.0336,174.426,0.651,https://api.spotify.com/v1/tracks/2CT3r93YuSHtm57mjxvjhH
Zombie,2IZZqH4K02UIYg5EohpNHF,0.0163,0.299,306411,0.613,0.00359,7,0.368,-9.012,1,0.0347,166.96,0.306,https://api.spotify.com/v1/tracks/2IZZqH4K02UIYg5EohpNHF
Black or White - Single Version,2Cy7QY8HPLk925AyNAt6OG,0.0824,0.741,202853,0.894,0.0527,4,0.089,-3.826,1,0.0495,114.869,0.96,https://api.spotify.com/v1/tracks/2Cy7QY8HPLk925AyNAt6OG
Iris,6Qyc6fS4DsZjB2mRW9DsQs,0.00125,0.315,289533,0.715,7.97e-06,11,0.0942,-8.072,0,0.0362,155.925,0.497,https://api.spotify.com/v1/tracks/6Qyc6fS4DsZjB2mRW9DsQs
