,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
C.R.E.A.M.,119c93MHjrDLJTApCVGpvx,0.57,0.479,252187,0.549,0.0239,11,0.127,-10.551,0,0.373,180.985,0.576,https://api.spotify.com/v1/tracks/119c93MHjrDLJTApCVGpvx
Who Got Da Props,6Xio661Y2iL7SDKFFOG9cv,0.138,0.805,270067,0.653,0.0,8,0.1,-11.251,0,0.185,100.349,0.257,https://api.spotify.com/v1/tracks/6Xio661Y2iL7SDKFFOG9cv
Award Tour,5YTM7OgQDt9EJAYcfHLniJ,0.00308,0.812,226440,0.6,8.38e-06,7,0.173,-9.414,1,0.254,97.338,0.555,https://api.spotify.com/v1/tracks/5YTM7OgQDt9EJAYcfHLniJ
One In A Million,1z3Q1tjW3b8HndGACUWDcM,0.0282,0.567,244200,0.62,0.0,10,0.32,-11.304,0,0.338,175.882,0.739,https://api.spotify.com/v1/tracks/1z3Q1tjW3b8HndGACUWDcM
Make Room,6LWpZmVDONqAqqf7fl8Lul,0.105,0.727,208667,0.489,0.0,1,0.0666,-7.98,1,0.302,96.413,0.227,https://api.spotify.com/v1/tracks/6LWpZmVDONqAqqf7fl8Lul
Freakit,1A4DjgWzJ839VdFCKE5hBD,0.0286,0.801,199493,0.518,3.65e-06,1,0.309,-12.054,1,0.314,97.302,0.598,https://api.spotify.com/v1/tracks/1A4DjgWzJ839VdFCKE5hBD
I Ain't Goin' Out Like That,7A78dicsG3o2drpJLWbT6f,0.00252,0.768,267933,0.533,0.899,6,0.331,-11.189,1,0.147,100.839,0.437,https://api.spotify.com/v1/tracks/7A78dicsG3o2drpJLWbT6f
Who Am I (What's My Name)?,5XhkV07Vou38wnrzwURUOC,0.000136,0.692,246320,0.833,1.98e-05,7,0.515,-3.974,1,0.0492,96.814,0.692,https://api.spotify.com/v1/tracks/5XhkV07Vou38wnrzwURUOC
Let Me Roll,2o5DLqfanAFBcsj0Pdr8di,0.219,0.816,293133,0.429,0.00067,0,0.0812,-15.631,1,0.191,81.903,0.602,https://api.spotify.com/v1/tracks/2o5DLqfanAFBcsj0Pdr8di
Just Another Day...,48FC4RXepyOHJFTyFuQkm0,0.376,0.686,269200,0.374,0.0782,7,0.208,-18.494,1,0.327,173.868,0.284,https://api.spotify.com/v1/tracks/48FC4RXepyOHJFTyFuQkm0
The Murda Show,76Ceb3pvgGsZb40pSIrSMH,0.0052,0.761,267707,0.721,0.0276,11,0.0768,-6.91,0,0.264,89.858,0.789,https://api.spotify.com/v1/tracks/76Ceb3pvgGsZb40pSIrSMH
Doggy Dogg World (feat. The Dramatics & Tha Dogg Pound),7pf6YT5CmmQxs6Uz7dABNB,0.0036,0.685,338813,0.686,0.0,7,0.0959,-6.311,1,0.292,94.188,0.682,https://api.spotify.com/v1/tracks/7pf6YT5CmmQxs6Uz7dABNB
"Le Bien, Le Mal",0nwnaHLObT2ZEkrNAfryEB,0.0413,0.842,202160,0.821,0.00249,1,0.346,-9.86,1,0.163,101.986,0.594,https://api.spotify.com/v1/tracks/0nwnaHLObT2ZEkrNAfryEB
Catch A Bad One,0vhiGS9UsCMq4RF0WgB6gP,0.345,0.732,226293,0.584,0.0199,7,0.185,-10.981,1,0.33,97.38,0.565,https://api.spotify.com/v1/tracks/0vhiGS9UsCMq4RF0WgB6gP
Hot Potato,2lHhAEAhCLCfigjpTvSBD1,0.196,0.919,217840,0.575,0.0,1,0.358,-9.718,1,0.357,114.07,0.529,https://api.spotify.com/v1/tracks/2lHhAEAhCLCfigjpTvSBD1
Flow Joe,113LqHyJALWRb4FyM8Zd0r,0.1,0.655,256533,0.706,0.523,1,0.105,-12.234,1,0.205,175.52,0.606,https://api.spotify.com/v1/tracks/113LqHyJALWRb4FyM8Zd0r
Carlos Rossi,1VkBKf4ty9OFQA2TESbV43,0.0101,0.836,285560,0.24,0.000215,9,0.0851,-10.819,1,0.37,144.032,0.674,https://api.spotify.com/v1/tracks/1VkBKf4ty9OFQA2TESbV43
(I Know I Got) Skillz,0TEQ2QmFXnHCgQvYuvsbp2,0.00366,0.801,263053,0.875,0.425,7,0.182,-9.705,1,0.0995,91.983,0.637,https://api.spotify.com/v1/tracks/0TEQ2QmFXnHCgQvYuvsbp2
Same Old Sh*t,0awP7BRdUvnzBCaU9YOpiJ,0.00712,0.734,247560,0.637,0.000556,1,0.0647,-7.839,0,0.215,88.193,0.392,https://api.spotify.com/v1/tracks/0awP7BRdUvnzBCaU9YOpiJ
Truthful,2rapFnvpJOPPWGCeS7GQgS,0.022,0.677,281173,0.631,0.00149,6,0.0915,-11.51,1,0.247,99.849,0.328,https://api.spotify.com/v1/tracks/2rapFnvpJOPPWGCeS7GQgS
